Month,Day,Day_of_week,Hour,Minute,Hour_sin,Hour_cos,Minute_sin,Minute_cos,Day_of_week_sin,Day_of_week_cos
4,28,2,0,0,0.0,1.0,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,0,15,0.0,1.0,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,0,30,0.0,1.0,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,0,45,0.0,1.0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,1,0,0.25881904510252074,0.9659258262890683,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,1,15,0.25881904510252074,0.9659258262890683,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,1,30,0.25881904510252074,0.9659258262890683,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,1,45,0.25881904510252074,0.9659258262890683,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,2,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,2,15,0.49999999999999994,0.8660254037844387,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,2,30,0.49999999999999994,0.8660254037844387,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,2,45,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,3,0,0.7071067811865475,0.7071067811865476,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,3,15,0.7071067811865475,0.7071067811865476,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,3,30,0.7071067811865475,0.7071067811865476,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,3,45,0.7071067811865475,0.7071067811865476,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,4,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,4,15,0.8660254037844386,0.5000000000000001,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,4,30,0.8660254037844386,0.5000000000000001,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,4,45,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,5,0,0.9659258262890683,0.25881904510252074,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,5,15,0.9659258262890683,0.25881904510252074,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,5,30,0.9659258262890683,0.25881904510252074,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,5,45,0.9659258262890683,0.25881904510252074,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,6,0,1.0,6.123233995736766e-17,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,6,15,1.0,6.123233995736766e-17,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,6,30,1.0,6.123233995736766e-17,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,6,45,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,7,15,0.9659258262890683,-0.25881904510252063,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,7,30,0.9659258262890683,-0.25881904510252063,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,7,45,0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,8,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,8,15,0.8660254037844387,-0.4999999999999998,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,8,30,0.8660254037844387,-0.4999999999999998,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,8,45,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,9,15,0.7071067811865476,-0.7071067811865475,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
