Date,Month,Day,Day_of_week,Hour,DAM_Price,DAM_Vol_Sale,DAM_Vol_Buy,IDM_Price,IDM_Last_Price,IDM_Vol_Sale,IDM_Vol_Buy,global_tilted_irradiance_instant,Temperature_2m,Shortwave_Radiation,Avg_Weighted_Price
1 - 1,1,1,3,1,3500.0,2705.6,2705.6,3476.08,3499.97,124.0,124.0,0.0,-1.3,0.0,3518.41
1 - 1,1,1,3,2,2900.0,2669.8,2669.8,2892.18,2899.97,186.7,186.7,0.0,-1.9,0.0,3518.41
1 - 1,1,1,3,3,2440.0,2532.8,2532.8,2431.4,2439.99,211.5,211.5,0.0,-3.1,0.0,3518.41
1 - 1,1,1,3,4,2250.0,2446.1,2446.1,2238.05,2235.0,236.2,236.2,0.0,-3.3,0.0,3518.41
1 - 1,1,1,3,5,1940.0,2390.0,2390.0,1928.91,1939.97,231.4,231.4,0.0,-3.4,0.0,3518.41
1 - 1,1,1,3,6,2000.0,2388.0,2388.0,1989.85,1999.99,240.0,240.0,0.0,-3.9,0.0,3518.41
1 - 1,1,1,3,7,750.0,2203.2,2203.2,748.71,750.0,229.5,229.5,28.780107,-3.9,0.0,3518.41
1 - 1,1,1,3,8,1940.0,2236.2,2236.2,1888.51,1939.3,256.4,256.4,57.330685,-3.8,0.0,3518.41
1 - 1,1,1,3,9,990.0,2049.0,2049.0,955.08,990.0,307.4,307.4,65.67145,-4.4,0.0,3518.41
1 - 1,1,1,3,10,875.0,2368.1,2368.1,825.71,875.0,286.4,286.4,67.41073,-4.4,20.0,3518.41
1 - 1,1,1,3,11,490.0,2422.9,2422.9,468.26,490.0,304.0,304.0,64.23602,-3.2,101.0,3518.41
1 - 1,1,1,3,12,500.0,2508.1,2508.1,484.5,498.0,290.1,290.1,56.4883,-0.9,187.0,3518.41
1 - 1,1,1,3,13,490.0,2479.8,2479.8,468.36,490.0,301.2,301.2,41.95282,1.1,243.0,3518.41
1 - 1,1,1,3,14,1111.0,2523.2,2523.2,1151.14,1500.0,203.2,203.2,17.06886,2.7,260.0,3518.41
1 - 1,1,1,3,15,2630.0,2581.3,2581.3,3003.47,2637.0,152.4,152.4,0.0,4.8,229.0,3518.41
1 - 1,1,1,3,16,4180.0,2847.0,2847.0,4102.74,4179.97,192.2,192.2,0.0,4.7,160.0,3518.41
1 - 1,1,1,3,17,5200.0,3168.8,3168.8,5179.26,5200.0,192.5,192.5,0.0,3.1,68.0,3518.41
1 - 1,1,1,3,18,8300.0,3315.9,3315.9,8274.14,8299.0,164.6,164.6,0.0,3.4,5.0,3518.41
1 - 1,1,1,3,19,8200.0,3209.4,3209.4,8154.71,8199.9,155.9,155.9,0.0,2.0,0.0,3518.41
1 - 1,1,1,3,20,6600.0,3049.9,3049.9,6452.36,6599.9,203.0,203.0,0.0,1.3,0.0,3518.41
1 - 1,1,1,3,21,6600.0,3054.7,3054.7,6567.86,6598.0,225.9,225.9,0.0,1.1,0.0,3518.41
1 - 1,1,1,3,22,5980.0,2902.9,2902.9,5958.3,5969.99,211.3,211.3,0.0,0.5,0.0,3518.41
1 - 1,1,1,3,23,4180.0,2394.5,2394.5,4160.01,4179.98,250.8,250.8,0.0,0.6,0.0,3518.41
1 - 1,1,1,3,24,3970.0,2555.4,2555.4,3952.13,3969.99,163.8,163.8,0.0,-0.8,0.0,3518.41
1 - 2,1,2,4,1,2500.0,2434.0,2434.0,2490.62,2498.57,84.7,84.7,0.0,1.1,0.0,4879.71
1 - 2,1,2,4,2,2664.0,2556.3,2556.3,2662.36,2663.98,150.3,150.3,0.0,0.2,0.0,4879.71
1 - 2,1,2,4,3,2000.0,2400.7,2400.7,1998.69,1999.98,189.9,189.9,0.0,1.1,0.0,4879.71
1 - 2,1,2,4,4,1199.0,2347.6,2347.6,1188.5,1195.0,181.1,181.1,0.0,0.2,0.0,4879.71
1 - 2,1,2,4,5,2000.0,2433.5,2433.5,1998.49,1999.98,173.7,173.7,0.0,0.7,0.0,4879.71
1 - 2,1,2,4,6,2500.0,2451.6,2451.6,2487.46,2490.0,171.6,171.6,0.0,1.6,0.0,4879.71
1 - 2,1,2,4,7,4000.0,2606.6,2606.6,3995.85,3998.57,90.0,90.0,31.093391,2.5,0.0,4879.71
1 - 2,1,2,4,8,5380.0,2899.5,2899.5,5374.42,5380.0,109.9,109.9,54.947544,4.4,0.0,4879.71
1 - 2,1,2,4,9,4680.0,3226.9,3226.9,4678.51,4679.99,157.6,157.6,62.60826,5.7,0.0,4879.71
1 - 2,1,2,4,10,5000.0,3637.1,3637.1,4995.64,4999.95,177.7,177.7,64.58171,6.2,22.0,4879.71
1 - 2,1,2,4,11,4400.0,3579.8,3579.8,4394.9,4399.99,177.7,177.7,60.71488,7.7,110.0,4879.71
1 - 2,1,2,4,12,4650.0,3663.6,3663.6,4646.51,4649.0,123.3,123.3,53.270363,9.5,201.0,4879.71
1 - 2,1,2,4,13,4350.0,3468.7,3468.7,4344.19,4348.57,121.8,121.8,45.54496,10.5,262.0,4879.71
1 - 2,1,2,4,14,4650.0,3342.2,3342.2,4642.3,2650.0,110.5,110.5,17.793118,10.9,278.0,4879.71
1 - 2,1,2,4,15,5567.26,3414.6,3414.6,5514.9,5567.0,88.7,88.7,0.0,11.3,246.0,4879.71
1 - 2,1,2,4,16,5500.0,3646.8,3646.8,5491.37,5499.99,130.6,130.6,0.0,10.3,172.0,4879.71
1 - 2,1,2,4,17,5566.31,3797.3,3797.3,5560.88,5566.31,185.4,185.4,0.0,9.1,74.0,4879.71
1 - 2,1,2,4,18,8200.0,3521.3,3521.3,8144.58,8199.97,137.4,137.4,0.0,8.1,6.0,4879.71
1 - 2,1,2,4,19,8200.0,3363.1,3363.1,8113.54,8199.97,101.5,101.5,0.0,7.4,0.0,4879.71
1 - 2,1,2,4,20,7100.0,3294.2,3294.2,7066.43,7099.0,152.4,152.4,0.0,7.2,0.0,4879.71
1 - 2,1,2,4,21,6600.0,3145.2,3145.2,6586.07,6599.93,154.5,154.5,0.0,7.2,0.0,4879.71
1 - 2,1,2,4,22,5980.0,2979.2,2979.2,5957.54,5979.96,187.8,187.8,0.0,7.1,0.0,4879.71
1 - 2,1,2,4,23,4980.0,2732.4,2732.4,4969.03,4979.97,263.2,263.2,0.0,7.0,0.0,4879.71
1 - 2,1,2,4,24,4780.0,2871.1,2871.1,4767.95,4740.0,153.5,153.5,0.0,2.2,0.0,4879.71
1 - 3,1,3,5,1,3800.0,2477.8,2477.8,3794.19,3798.0,248.1,248.1,0.0,7.6,0.0,5467.94
1 - 3,1,3,5,2,2500.0,2326.0,2326.0,2515.8,2500.0,223.2,223.2,0.0,7.9,0.0,5467.94
1 - 3,1,3,5,3,2000.0,2386.7,2386.7,2017.85,2000.0,228.6,228.6,0.0,7.9,0.0,5467.94
1 - 3,1,3,5,4,1999.0,2315.0,2315.0,2009.54,1999.0,204.1,204.1,0.0,7.2,0.0,5467.94
1 - 3,1,3,5,5,2000.0,2335.8,2335.8,1986.08,1975.99,171.7,171.7,0.0,6.2,0.0,5467.94
1 - 3,1,3,5,6,2500.0,2334.1,2334.1,2489.93,2496.93,119.1,119.1,0.0,4.5,0.0,5467.94
1 - 3,1,3,5,7,3920.0,2519.7,2519.7,3913.95,3916.93,95.5,95.5,11.687857,3.7,0.0,5467.94
1 - 3,1,3,5,8,5380.0,2890.2,2890.2,5373.15,5379.98,140.7,140.7,27.005611,2.9,0.0,5467.94
1 - 3,1,3,5,9,6200.0,3301.2,3301.2,6180.11,6199.98,119.6,119.6,63.19612,1.2,0.0,5467.94
1 - 3,1,3,5,10,6837.52,3826.2,3826.2,6791.01,6837.51,131.0,131.0,101.0163,0.6,7.0,5467.94
1 - 3,1,3,5,11,6200.0,3851.3,3851.3,6198.58,6198.0,238.3,238.3,78.127,0.5,30.0,5467.94
1 - 3,1,3,5,12,5564.71,3880.0,3880.0,5562.53,5540.0,241.6,241.6,60.654587,0.6,62.0,5467.94
1 - 3,1,3,5,13,5565.85,3724.0,3724.0,5558.35,5565.85,196.6,196.6,29.675577,1.1,97.0,5467.94
1 - 3,1,3,5,14,5600.0,3696.7,3696.7,5593.77,5600.0,206.9,206.9,12.90107,1.2,86.0,5467.94
1 - 3,1,3,5,15,5600.0,3468.6,3468.6,5588.2,5589.89,315.1,315.1,0.0,0.6,50.0,5467.94
1 - 3,1,3,5,16,5600.0,3785.4,3785.4,5564.76,5320.0,180.4,180.4,0.0,-0.0,47.0,5467.94
1 - 3,1,3,5,17,5600.0,4039.6,4039.6,5557.16,4900.0,199.8,199.8,0.0,-0.3,25.0,5467.94
1 - 3,1,3,5,18,8000.0,3734.1,3734.1,7808.96,7600.0,138.0,138.0,0.0,-0.2,3.0,5467.94
1 - 3,1,3,5,19,7900.0,3421.5,3421.5,7759.4,7899.95,166.0,166.0,0.0,-0.4,0.0,5467.94
1 - 3,1,3,5,20,6975.0,3379.7,3379.7,6949.33,6973.99,255.0,255.0,0.0,-0.7,0.0,5467.94
1 - 3,1,3,5,21,6975.0,3349.1,3349.1,6966.93,6973.99,271.1,271.1,0.0,-0.9,0.0,5467.94
1 - 3,1,3,5,22,5980.0,3030.1,3030.1,5953.24,5978.99,309.3,309.3,0.0,-0.9,0.0,5467.94
1 - 3,1,3,5,23,5980.0,3058.3,3058.3,5946.17,5978.99,211.7,211.7,0.0,-1.1,0.0,5467.94
1 - 3,1,3,5,24,6200.0,3135.7,3135.7,6166.22,6198.9,136.8,136.8,0.0,7.1,0.0,5467.94
1 - 4,1,4,6,1,4304.0,2671.4,2671.4,4289.76,4303.9,133.0,133.0,0.0,-1.9,0.0,5601.63
1 - 4,1,4,6,2,3920.0,2633.7,2633.7,3901.55,3912.97,130.7,130.7,0.0,-2.0,0.0,5601.63
1 - 4,1,4,6,3,3904.0,2569.5,2569.5,3887.3,3894.99,136.7,136.7,0.0,-1.4,0.0,5601.63
1 - 4,1,4,6,4,2890.0,2557.5,2557.5,2880.59,2882.97,119.9,119.9,0.0,-1.1,0.0,5601.63
1 - 4,1,4,6,5,2678.0,2543.0,2543.0,2668.01,2670.96,118.4,118.4,0.0,-1.5,0.0,5601.63
1 - 4,1,4,6,6,3920.0,2526.1,2526.1,3903.04,3770.0,109.3,109.3,0.0,-1.8,0.0,5601.63
1 - 4,1,4,6,7,3920.0,2527.7,2527.7,3901.68,3912.9,85.5,85.5,35.175114,-1.5,0.0,5601.63
1 - 4,1,4,6,8,4584.0,2749.9,2749.9,4560.05,4583.99,118.3,118.3,55.784985,-1.2,0.0,5601.63
1 - 4,1,4,6,9,6200.0,3385.9,3385.9,6165.11,3038.0,125.7,125.7,59.483013,-0.9,0.0,5601.63
1 - 4,1,4,6,10,6200.0,3898.7,3898.7,6162.05,6137.99,94.0,94.0,61.824757,-1.5,12.0,5601.63
1 - 4,1,4,6,11,4584.0,3954.7,3954.7,4563.93,4576.97,165.9,165.9,59.076054,-1.1,69.0,5601.63
1 - 4,1,4,6,12,3969.0,3942.3,3942.3,3954.49,3961.97,130.1,130.1,51.80662,-0.5,129.0,5601.63
1 - 4,1,4,6,13,3149.0,3806.4,3806.4,3095.2,3137.0,138.7,138.7,44.372257,0.0,262.0,5601.63
1 - 4,1,4,6,14,3970.0,3762.6,3762.6,3919.33,3962.97,185.9,185.9,17.128223,0.2,296.0,5601.63
1 - 4,1,4,6,15,4980.0,3775.7,3775.7,4881.16,4880.4,220.4,220.4,0.0,1.0,266.0,5601.63
1 - 4,1,4,6,16,5567.44,3895.7,3895.7,5504.56,5567.42,202.7,202.7,0.0,0.8,191.0,5601.63
1 - 4,1,4,6,17,5600.0,4182.5,4182.5,5534.99,5499.99,173.4,173.4,0.0,-0.2,84.0,5601.63
1 - 4,1,4,6,18,8942.61,4028.7,4028.7,8871.02,8942.61,309.2,309.2,0.0,-0.6,7.0,5601.63
1 - 4,1,4,6,19,8400.0,3811.4,3811.4,8353.21,8400.0,333.1,333.1,0.0,-1.4,0.0,5601.63
1 - 4,1,4,6,20,8918.51,3681.6,3681.6,8731.52,8918.51,246.2,246.2,0.0,-1.7,0.0,5601.63
1 - 4,1,4,6,21,8947.11,3604.6,3604.6,8578.33,8768.17,160.3,160.3,0.0,-2.4,0.0,5601.63
1 - 4,1,4,6,22,7900.0,3368.1,3368.1,7491.55,7742.0,121.5,121.5,0.0,-2.7,0.0,5601.63
1 - 4,1,4,6,23,6180.0,3120.0,3120.0,6070.13,6172.0,203.1,203.1,0.0,-2.8,0.0,5601.63
1 - 4,1,4,6,24,6851.44,3237.8,3237.8,6637.57,6505.0,117.2,117.2,0.0,-1.5,0.0,5601.63
1 - 5,1,5,7,1,4745.0,2950.6,2950.6,4665.33,2745.0,97.1,97.1,0.0,-3.4,0.0,4960.2
1 - 5,1,5,7,2,4320.0,2830.0,2830.0,4240.43,4276.7,89.2,89.2,0.0,-4.2,0.0,4960.2
1 - 5,1,5,7,3,3920.0,2771.5,2771.5,3848.63,3919.51,108.6,108.6,0.0,-4.5,0.0,4960.2
1 - 5,1,5,7,4,3920.0,2715.6,2715.6,3843.05,3880.5,96.7,96.7,0.0,-4.5,0.0,4960.2
1 - 5,1,5,7,5,3920.0,2728.7,2728.7,3840.69,3880.75,79.8,79.8,0.0,-4.6,0.0,4960.2
1 - 5,1,5,7,6,4289.0,2764.1,2764.1,4167.31,2101.61,74.0,74.0,0.0,-5.4,0.0,4960.2
1 - 5,1,5,7,7,4320.0,2786.1,2786.1,4248.45,4319.53,75.9,75.9,28.467247,-5.7,0.0,4960.2
1 - 5,1,5,7,8,4544.0,2860.9,2860.9,4535.19,4543.0,124.6,124.6,52.4087,-6.0,0.0,4960.2
1 - 5,1,5,7,9,4680.0,3130.1,3130.1,4654.19,4679.9,137.1,137.1,60.51659,-6.5,0.0,4960.2
1 - 5,1,5,7,10,3943.0,3413.8,3413.8,3936.98,3942.98,236.2,236.2,61.785183,-6.5,23.0,4960.2
1 - 5,1,5,7,11,2850.0,3336.2,3336.2,2843.66,2000.1,272.1,272.1,60.85828,-5.3,114.0,4960.2
1 - 5,1,5,7,12,2819.0,3373.1,3373.1,2800.53,2819.0,222.1,222.1,54.301167,-3.2,208.0,4960.2
1 - 5,1,5,7,13,2850.0,3295.8,3295.8,2837.53,2850.0,216.6,216.6,49.011227,-2.0,272.0,4960.2
1 - 5,1,5,7,14,2998.0,3354.2,3354.2,2975.58,2997.94,223.0,223.0,29.887829,-0.8,291.0,4960.2
1 - 5,1,5,7,15,3943.0,3413.2,3413.2,3930.71,3937.0,207.5,207.5,0.0,1.5,260.0,4960.2
1 - 5,1,5,7,16,5521.0,3626.1,3626.1,5511.75,5521.0,180.6,180.6,0.0,1.3,174.0,4960.2
1 - 5,1,5,7,17,5600.0,4033.7,4033.7,5593.17,5600.0,206.1,206.1,0.0,0.4,71.0,4960.2
1 - 5,1,5,7,18,8600.0,3909.9,3909.9,8597.63,8599.97,284.2,284.2,0.0,-0.3,7.0,4960.2
1 - 5,1,5,7,19,8100.0,3615.4,3615.4,8086.97,8100.0,268.0,268.0,0.0,-0.8,0.0,4960.2
1 - 5,1,5,7,20,7226.35,3470.3,3470.3,7207.72,7226.29,230.1,230.1,0.0,-1.0,0.0,4960.2
1 - 5,1,5,7,21,6800.0,3481.3,3481.3,6766.47,6700.0,217.6,217.6,0.0,-1.4,0.0,4960.2
1 - 5,1,5,7,22,6790.0,3388.3,3388.3,6672.1,6790.0,247.1,247.1,0.0,-1.5,0.0,4960.2
1 - 5,1,5,7,23,4980.0,3051.9,3051.9,4925.37,4979.93,319.9,319.9,0.0,-1.5,0.0,4960.2
1 - 5,1,5,7,24,5180.0,3258.4,3258.4,5157.83,5177.99,182.6,182.6,0.0,-3.4,0.0,4960.2
1 - 6,1,6,1,1,3920.0,2842.0,2842.0,3913.23,3916.93,91.2,91.2,0.0,-1.9,0.0,5631.18
1 - 6,1,6,1,2,2678.0,2808.1,2808.1,2670.42,2678.0,166.6,166.6,0.0,-1.5,0.0,5631.18
1 - 6,1,6,1,3,2500.0,2696.2,2696.2,2491.93,2496.93,158.8,158.8,0.0,-1.2,0.0,5631.18
1 - 6,1,6,1,4,2000.0,2654.9,2654.9,1991.98,1996.93,159.2,159.2,0.0,-0.9,0.0,5631.18
1 - 6,1,6,1,5,2000.0,2698.8,2698.8,1990.4,1996.93,131.3,131.3,0.0,-0.8,0.0,5631.18
1 - 6,1,6,1,6,2500.0,2601.6,2601.6,2488.92,2496.93,108.6,108.6,0.0,-0.4,0.0,5631.18
1 - 6,1,6,1,7,2890.0,2641.2,2641.2,2878.13,2886.93,93.3,93.3,20.804007,-0.4,0.0,5631.18
1 - 6,1,6,1,8,4680.0,3072.4,3072.4,4672.07,4679.96,132.3,132.3,37.988007,-0.1,0.0,5631.18
1 - 6,1,6,1,9,6800.0,3621.2,3621.2,6575.55,6799.98,94.9,94.9,101.69229,0.1,0.0,5631.18
1 - 6,1,6,1,10,6900.0,4079.3,4079.3,6744.49,6899.0,136.2,136.2,123.53732,0.4,10.0,5631.18
1 - 6,1,6,1,11,6900.0,4001.3,4001.3,6755.92,6899.95,143.5,143.5,126.91944,1.1,50.0,5631.18
1 - 6,1,6,1,12,5600.0,3623.8,3623.8,5586.08,5599.98,510.8,510.8,104.1557,1.8,90.0,5631.18
1 - 6,1,6,1,13,5600.0,3641.5,3641.5,5596.66,5599.0,392.2,392.2,76.21403,2.5,100.0,5631.18
1 - 6,1,6,1,14,5600.0,3578.9,3578.9,5596.81,5599.98,424.2,424.2,24.942575,3.7,176.0,5631.18
1 - 6,1,6,1,15,5600.0,3570.9,3570.9,5595.12,2744.0,479.2,479.2,0.0,5.1,185.0,5631.18
1 - 6,1,6,1,16,5600.0,4000.8,4000.8,5555.29,5400.0,239.9,239.9,0.0,5.2,149.0,5631.18
1 - 6,1,6,1,17,5600.0,4178.6,4178.6,5542.26,5599.95,222.2,222.2,0.0,4.0,71.0,5631.18
1 - 6,1,6,1,18,8700.0,3780.2,3780.2,8550.68,8696.83,249.3,249.3,0.0,3.4,7.0,5631.18
1 - 6,1,6,1,19,8100.0,3566.5,3566.5,8014.03,8096.93,248.8,248.8,0.0,2.3,0.0,5631.18
1 - 6,1,6,1,20,8600.0,3563.1,3563.1,8437.32,8596.8,151.8,151.8,0.0,2.1,0.0,5631.18
1 - 6,1,6,1,21,7900.0,3442.2,3442.2,7774.15,7896.92,170.9,170.9,0.0,2.2,0.0,5631.18
1 - 6,1,6,1,22,6800.0,3293.2,3293.2,6714.65,4800.0,253.7,253.7,0.0,1.9,0.0,5631.18
1 - 6,1,6,1,23,5980.0,3021.5,3021.5,5909.88,5975.0,275.9,275.9,0.0,1.8,0.0,5631.18
1 - 6,1,6,1,24,6200.0,3286.1,3286.1,6190.18,6199.99,201.5,201.5,0.0,-1.9,0.0,5631.18
1 - 7,1,7,2,1,3920.0,2786.3,2786.3,3901.03,3850.0,114.1,114.1,0.0,1.7,0.0,5365.77
1 - 7,1,7,2,2,3000.0,2837.4,2837.4,2995.0,2999.98,124.8,124.8,0.0,2.2,0.0,5365.77
1 - 7,1,7,2,3,2500.0,2778.7,2778.7,2489.26,2490.74,188.6,188.6,0.0,2.0,0.0,5365.77
1 - 7,1,7,2,4,2500.0,2745.2,2745.2,2484.0,2400.0,138.4,138.4,0.0,2.2,0.0,5365.77
1 - 7,1,7,2,5,2500.0,2756.6,2756.6,2482.39,2499.97,137.0,137.0,0.0,2.3,0.0,5365.77
1 - 7,1,7,2,6,2890.0,2718.1,2718.1,2872.58,2889.98,119.5,119.5,0.0,2.4,0.0,5365.77
1 - 7,1,7,2,7,3889.0,2707.7,2707.7,3853.93,3888.97,110.7,110.7,16.037252,2.2,0.0,5365.77
1 - 7,1,7,2,8,4000.0,2835.9,2835.9,3975.67,3999.96,154.3,154.3,33.054424,2.6,0.0,5365.77
1 - 7,1,7,2,9,6400.0,3570.7,3570.7,6378.79,6399.97,150.3,150.3,27.38246,2.5,0.0,5365.77
1 - 7,1,7,2,10,6800.0,3980.2,3980.2,6787.43,6799.99,199.1,199.1,26.23315,2.7,14.0,5365.77
1 - 7,1,7,2,11,5880.0,3887.5,3887.5,5860.14,5785.01,226.0,226.0,40.973408,3.8,52.0,5365.77
1 - 7,1,7,2,12,4650.0,3782.9,3782.9,4627.31,4639.67,220.6,220.6,61.2326,4.8,91.0,5365.77
1 - 7,1,7,2,13,4350.0,3601.9,3601.9,4319.89,4250.0,300.2,300.2,42.07036,6.0,99.0,5365.77
1 - 7,1,7,2,14,4800.0,3659.4,3659.4,4788.81,4799.98,283.0,283.0,4.61478,6.8,100.0,5365.77
1 - 7,1,7,2,15,5568.09,3758.1,3758.1,5563.1,5568.09,280.7,280.7,0.0,7.9,100.0,5365.77
1 - 7,1,7,2,16,5600.0,3969.0,3969.0,5588.61,5599.94,290.5,290.5,0.0,8.3,80.0,5365.77
1 - 7,1,7,2,17,5600.0,4122.1,4122.1,5593.76,5600.0,318.5,318.5,0.0,7.6,41.0,5365.77
1 - 7,1,7,2,18,8600.0,4054.4,4054.4,8487.92,8550.0,147.4,147.4,0.0,6.7,5.0,5365.77
1 - 7,1,7,2,19,8100.0,3879.7,3879.7,8083.02,8100.0,365.8,365.8,0.0,6.0,0.0,5365.77
1 - 7,1,7,2,20,7540.0,3638.7,3638.7,7519.39,7540.0,271.3,271.3,0.0,5.6,0.0,5365.77
1 - 7,1,7,2,21,7091.0,3564.7,3564.7,7071.75,7090.99,276.5,276.5,0.0,4.8,0.0,5365.77
1 - 7,1,7,2,22,6701.0,3280.3,3280.3,6674.21,6629.99,288.4,288.4,0.0,4.2,0.0,5365.77
1 - 7,1,7,2,23,5980.0,3056.3,3056.3,5903.35,5950.0,237.6,237.6,0.0,4.0,0.0,5365.77
1 - 7,1,7,2,24,5180.0,3156.3,3156.3,5166.2,5179.98,176.3,176.3,0.0,1.6,0.0,5365.77
1 - 8,1,8,3,1,3889.0,2850.0,2850.0,3886.12,3888.98,153.5,153.5,0.0,3.5,0.0,5972.0
1 - 8,1,8,3,2,3880.0,2815.4,2815.4,3844.41,3841.2,145.2,145.2,0.0,3.8,0.0,5972.0
1 - 8,1,8,3,3,2890.0,2680.7,2680.7,2863.36,2861.1,206.9,206.9,0.0,3.5,0.0,5972.0
1 - 8,1,8,3,4,2678.0,2631.8,2631.8,2655.72,2651.22,195.2,195.2,0.0,3.8,0.0,5972.0
1 - 8,1,8,3,5,2678.0,2654.8,2654.8,2655.3,2651.22,193.7,193.7,0.0,3.8,0.0,5972.0
1 - 8,1,8,3,6,3880.0,2720.1,2720.1,3829.24,3841.2,144.9,144.9,0.0,4.0,0.0,5972.0
1 - 8,1,8,3,7,4289.0,2798.6,2798.6,4287.25,4288.95,151.3,151.3,25.226103,3.4,0.0,5972.0
1 - 8,1,8,3,8,5300.0,3071.5,3071.5,5298.77,5299.98,196.4,196.4,65.74008,3.7,0.0,5972.0
1 - 8,1,8,3,9,6875.3,3884.4,3884.4,6873.78,6875.28,239.0,239.0,77.18332,2.7,0.0,5972.0
1 - 8,1,8,3,10,6900.0,4283.1,4283.1,6896.94,6900.0,397.7,397.7,104.321365,2.2,19.0,5972.0
1 - 8,1,8,3,11,6600.0,4203.3,4203.3,6587.16,6599.99,224.9,224.9,110.97282,2.9,86.0,5972.0
1 - 8,1,8,3,12,5250.0,4083.4,4083.4,5231.86,5249.98,279.0,279.0,91.79674,4.2,78.0,5972.0
1 - 8,1,8,3,13,4650.0,3898.4,3898.4,4625.88,4649.87,332.5,332.5,74.984726,5.4,122.0,5972.0
1 - 8,1,8,3,14,4980.0,3983.4,3983.4,4978.88,4980.0,417.6,417.6,25.06221,6.5,180.0,5972.0
1 - 8,1,8,3,15,5600.0,4001.7,4001.7,5587.26,5580.0,425.6,425.6,0.0,7.3,176.0,5972.0
1 - 8,1,8,3,16,5600.0,4145.5,4145.5,5595.75,5599.96,459.5,459.5,0.0,7.2,96.0,5972.0
1 - 8,1,8,3,17,5600.0,4344.6,4344.6,5594.08,5543.41,500.7,500.7,0.0,6.8,45.0,5972.0
1 - 8,1,8,3,18,8950.66,4455.4,4455.4,8839.06,8950.0,207.8,207.8,0.0,6.3,6.0,5972.0
1 - 8,1,8,3,19,8950.5,4175.0,4175.0,8734.8,8696.0,171.2,171.2,0.0,5.5,0.0,5972.0
1 - 8,1,8,3,20,8943.81,4034.9,4034.9,8832.97,8835.83,179.6,179.6,0.0,6.1,0.0,5972.0
1 - 8,1,8,3,21,8356.0,3895.0,3895.0,8276.41,8271.6,143.7,143.7,0.0,7.3,0.0,5972.0
1 - 8,1,8,3,22,8094.0,3634.9,3634.9,8073.12,8092.0,170.4,170.4,0.0,6.8,0.0,5972.0
1 - 8,1,8,3,23,5600.0,3067.6,3067.6,5577.28,5599.96,198.7,198.7,0.0,6.5,0.0,5972.0
1 - 8,1,8,3,24,6875.14,3310.0,3310.0,6787.91,5500.99,178.6,178.6,0.0,3.2,0.0,5972.0
1 - 9,1,9,4,1,4745.0,2986.5,2986.5,4650.26,4729.0,73.7,73.7,0.0,6.3,0.0,5944.56
1 - 9,1,9,4,2,4318.0,2861.6,2861.6,4260.46,3022.6,127.3,127.3,0.0,5.1,0.0,5944.56
1 - 9,1,9,4,3,4318.0,2904.2,2904.2,4282.11,4274.81,94.6,94.6,0.0,4.5,0.0,5944.56
1 - 9,1,9,4,4,3880.0,2854.7,2854.7,3833.58,3841.19,116.5,116.5,0.0,3.7,0.0,5944.56
1 - 9,1,9,4,5,4318.0,2883.8,2883.8,4269.64,3831.0,119.8,119.8,0.0,3.1,0.0,5944.56
1 - 9,1,9,4,6,4320.0,2895.2,2895.2,4274.15,4276.8,88.6,88.6,0.0,2.6,0.0,5944.56
1 - 9,1,9,4,7,4745.0,2878.1,2878.1,4710.8,4731.65,90.8,90.8,34.01574,2.1,0.0,5944.56
1 - 9,1,9,4,8,6875.37,3429.3,3429.3,6800.37,6875.37,88.5,88.5,55.169678,1.7,0.0,5944.56
1 - 9,1,9,4,9,6900.0,4013.8,4013.8,6864.39,6800.0,157.8,157.8,80.37566,1.5,0.0,5944.56
1 - 9,1,9,4,10,6900.0,4529.2,4529.2,6896.29,6830.0,249.7,249.7,107.10265,1.7,13.0,5944.56
1 - 9,1,9,4,11,6650.0,4448.4,4448.4,6646.45,6649.9,227.3,227.3,121.8152,3.4,39.0,5944.56
1 - 9,1,9,4,12,4980.0,4351.2,4351.2,4977.79,4979.8,240.4,240.4,103.32204,4.1,88.0,5944.56
1 - 9,1,9,4,13,4600.0,4083.2,4083.2,4538.62,4589.0,180.2,180.2,71.64053,5.5,119.0,5944.56
1 - 9,1,9,4,14,4980.0,4046.5,4046.5,4989.52,4979.8,212.5,212.5,28.430082,6.7,126.0,5944.56
1 - 9,1,9,4,15,5564.78,4090.2,4090.2,5549.41,5563.0,300.0,300.0,0.0,8.1,121.0,5944.56
1 - 9,1,9,4,16,5600.0,4284.1,4284.1,5594.55,5599.94,343.6,343.6,0.0,8.7,115.0,5944.56
1 - 9,1,9,4,17,5600.0,4437.2,4437.2,5591.72,5599.89,330.5,330.5,0.0,8.3,58.0,5944.56
1 - 9,1,9,4,18,8200.0,4121.0,4121.0,8070.67,8035.0,128.7,128.7,0.0,7.7,8.0,5944.56
1 - 9,1,9,4,19,8000.0,3834.7,3834.7,7871.82,7839.48,135.2,135.2,0.0,6.7,0.0,5944.56
1 - 9,1,9,4,20,8116.0,3962.9,3962.9,8063.82,8114.4,127.7,127.7,0.0,6.0,0.0,5944.56
1 - 9,1,9,4,21,7188.0,3766.8,3766.8,7169.31,7187.93,195.1,195.1,0.0,5.1,0.0,5944.56
1 - 9,1,9,4,22,6790.0,3540.8,3540.8,6778.74,6789.98,181.4,181.4,0.0,4.8,0.0,5944.56
