Hour_sin,Hour_cos,Day_of_week_sin,Day_of_week_cos,Day_sin,Day_cos,Grid,next_outage_duration,outage_remaining_h,hours_until_outage,Load,Temperature_2m,Shortwave_radiation,Global_tilted_irradiance_instant,DAM_Price,DAM_Vol_Buy,DAM_Vol_Sale
0.0,1.0,-0.433883739117558,-0.9009688679024191,0.20129852008866,0.9795299412524944,0,0.05,0.05,0.0,-0.7092491362810526,-1.9639485551435298,-0.6330461945600757,0.0,0.5221589627804816,4456.0,4456.0
0.0,1.0,-0.433883739117558,-0.9009688679024191,0.20129852008866,0.9795299412524944,0,0.025,0.025,0.0,-0.7092491362810526,-1.9639485551435298,-0.6330461945600757,0.0,0.5221589627804816,4456.0,4456.0
0.0,1.0,-0.433883739117558,-0.9009688679024191,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7092491362810526,-1.9639485551435298,-0.6330461945600757,0.0,0.5221589627804816,4456.0,4456.0
0.0,1.0,-0.433883739117558,-0.9009688679024191,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7092491362810526,-1.9639485551435298,-0.6330461945600757,0.0,0.5221589627804816,4456.0,4456.0
0.2588190451025207,0.9659258262890684,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7256574039285121,-1.5569441114484612,-0.6330461945600757,0.0,-0.08506374955792628,2705.6,2705.6
0.2588190451025207,0.9659258262890684,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7256574039285121,-1.5569441114484612,-0.6330461945600757,0.0,-0.08506374955792628,2705.6,2705.6
0.2588190451025207,0.9659258262890684,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7256574039285121,-1.5569441114484612,-0.6330461945600757,0.0,-0.08506374955792628,2705.6,2705.6
0.2588190451025207,0.9659258262890684,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7256574039285121,-1.5569441114484612,-0.6330461945600757,0.0,-0.08506374955792628,2705.6,2705.6
0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7860826330476347,-1.6238489515079244,-0.6330461945600757,0.0,-0.25510081686934627,2669.8,2669.8
0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7860826330476347,-1.6238489515079244,-0.6330461945600757,0.0,-0.25510081686934627,2669.8,2669.8
0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7860826330476347,-1.6238489515079244,-0.6330461945600757,0.0,-0.25510081686934627,2669.8,2669.8
0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7860826330476347,-1.6238489515079244,-0.6330461945600757,0.0,-0.25510081686934627,2669.8,2669.8
0.7071067811865475,0.7071067811865476,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7801613886357255,-1.6851783882290992,-0.6330461945600757,0.0,-0.41125817141385673,2532.8,2532.8
0.7071067811865475,0.7071067811865476,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7801613886357255,-1.6851783882290992,-0.6330461945600757,0.0,-0.41125817141385673,2532.8,2532.8
0.7071067811865475,0.7071067811865476,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7801613886357255,-1.6851783882290992,-0.6330461945600757,0.0,-0.41125817141385673,2532.8,2532.8
0.7071067811865475,0.7071067811865476,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7801613886357255,-1.6851783882290992,-0.6330461945600757,0.0,-0.41125817141385673,2532.8,2532.8
0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7628970374588332,-1.4677376580358434,-0.6330461945600757,0.0,-0.48455155291018426,2446.1,2446.1
0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7628970374588332,-1.4677376580358434,-0.6330461945600757,0.0,-0.48455155291018426,2446.1,2446.1
0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7628970374588332,-1.4677376580358434,-0.6330461945600757,0.0,-0.48455155291018426,2446.1,2446.1
0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7628970374588332,-1.4677376580358434,-0.6330461945600757,0.0,-0.48455155291018426,2446.1,2446.1
0.9659258262890684,0.2588190451025207,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7131015121634995,-1.4287098346678229,-0.6330461945600757,0.0,-0.6185703077965023,2390.0,2390.0
0.9659258262890684,0.2588190451025207,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,1,0.0,0.0,1.0,-0.7131015121634995,-1.4287098346678229,-0.6330461945600757,0.0,-0.6185703077965023,2390.0,2390.0
