Grid,next_outage_duration,outage_remaining_h,hours_until_outage,Load,Година,"Ціна, грн/МВт.год","Обсяг продажу, МВт.год","Обсяг купівлі, МВт.год",Temperature_2m,Shortwave_radiation,Global_tilted_irradiance_instant
1,0.0,0.0,24.0,340.54,,,,,9.1445,181.0,141.5251
1,0.0,0.0,24.0,303.11,,,,,9.1445,181.0,141.5251
1,0.0,0.0,24.0,348.92,,,,,9.1445,181.0,141.5251
1,0.0,0.0,24.0,63.23,,,,,7.9445,79.0,53.488934
1,0.0,0.0,24.0,53.73,,,,,7.9445,79.0,53.488934
1,0.0,0.0,24.0,63.34,,,,,7.9445,79.0,53.488934
1,0.0,0.0,24.0,234.54,,,,,7.9445,79.0,53.488934
1,0.0,0.0,24.0,54.38,,,,,7.5445,33.0,12.679538
1,0.0,0.0,24.0,59.02,,,,,7.5445,33.0,12.679538
1,0.0,0.0,24.0,64.6,,,,,7.5445,33.0,12.679538
1,0.0,0.0,24.0,59.88,,,,,7.5445,33.0,12.679538
1,0.0,0.0,24.0,63.28,,,,,6.5945,1.0,0.0
1,0.0,0.0,24.0,60.91,,,,,6.5945,1.0,0.0
1,0.0,0.0,24.0,63.88,,,,,6.5945,1.0,0.0
1,0.0,0.0,24.0,52.44,,,,,6.5945,1.0,0.0
1,0.0,0.0,24.0,67.38,,,,,5.3445,0.0,0.0
1,0.0,0.0,24.0,68.4,,,,,5.3445,0.0,0.0
1,0.0,0.0,24.0,62.65,,,,,5.3445,0.0,0.0
1,0.0,0.0,24.0,64.13,,,,,5.3445,0.0,0.0
1,0.0,0.0,24.0,63.83,,,,,4.9445,0.0,0.0
1,0.0,0.0,24.0,66.03,,,,,4.9445,0.0,0.0
1,0.0,0.0,24.0,55.25,,,,,4.9445,0.0,0.0
1,0.0,0.0,24.0,62.49,,,,,4.9445,0.0,0.0
