Date,Month,Day,Hour,Day_of_week,global_tilted_irradiance_instant,Temperature_2m,Shortwave_Radiation,Avg_Weighted_Price
1 - 1,1,1,0,3,0.0,-0.8,0.0,3518.41
1 - 1,1,1,1,3,0.0,-1.3,0.0,3518.41
1 - 1,1,1,2,3,0.0,-1.9,0.0,3518.41
1 - 1,1,1,3,3,0.0,-3.1,0.0,3518.41
1 - 1,1,1,4,3,0.0,-3.3,0.0,3518.41
1 - 1,1,1,5,3,0.0,-3.4,0.0,3518.41
1 - 1,1,1,6,3,0.0,-3.9,0.0,3518.41
1 - 1,1,1,7,3,28.780107,-3.9,0.0,3518.41
1 - 1,1,1,8,3,57.330685,-3.8,0.0,3518.41
1 - 1,1,1,9,3,65.67145,-4.4,0.0,3518.41
1 - 1,1,1,10,3,67.41073,-4.4,20.0,3518.41
1 - 1,1,1,11,3,64.23602,-3.2,101.0,3518.41
1 - 1,1,1,12,3,56.4883,-0.9,187.0,3518.41
1 - 1,1,1,13,3,41.95282,1.1,243.0,3518.41
1 - 1,1,1,14,3,17.06886,2.7,260.0,3518.41
1 - 1,1,1,15,3,0.0,4.8,229.0,3518.41
1 - 1,1,1,16,3,0.0,4.7,160.0,3518.41
1 - 1,1,1,17,3,0.0,3.1,68.0,3518.41
1 - 1,1,1,18,3,0.0,3.4,5.0,3518.41
1 - 1,1,1,19,3,0.0,2.0,0.0,3518.41
1 - 1,1,1,20,3,0.0,1.3,0.0,3518.41
1 - 1,1,1,21,3,0.0,1.1,0.0,3518.41
1 - 1,1,1,22,3,0.0,0.5,0.0,3518.41
1 - 1,1,1,23,3,0.0,0.6,0.0,3518.41
1 - 2,1,2,0,4,0.0,2.2,0.0,4879.71
1 - 2,1,2,1,4,0.0,1.1,0.0,4879.71
1 - 2,1,2,2,4,0.0,0.2,0.0,4879.71
1 - 2,1,2,3,4,0.0,1.1,0.0,4879.71
1 - 2,1,2,4,4,0.0,0.2,0.0,4879.71
1 - 2,1,2,5,4,0.0,0.7,0.0,4879.71
1 - 2,1,2,6,4,0.0,1.6,0.0,4879.71
1 - 2,1,2,7,4,31.093391,2.5,0.0,4879.71
1 - 2,1,2,8,4,54.947544,4.4,0.0,4879.71
1 - 2,1,2,9,4,62.60826,5.7,0.0,4879.71
1 - 2,1,2,10,4,64.58171,6.2,22.0,4879.71
1 - 2,1,2,11,4,60.71488,7.7,110.0,4879.71
1 - 2,1,2,12,4,53.270363,9.5,201.0,4879.71
1 - 2,1,2,13,4,45.54496,10.5,262.0,4879.71
1 - 2,1,2,14,4,17.793118,10.9,278.0,4879.71
1 - 2,1,2,15,4,0.0,11.3,246.0,4879.71
1 - 2,1,2,16,4,0.0,10.3,172.0,4879.71
1 - 2,1,2,17,4,0.0,9.1,74.0,4879.71
1 - 2,1,2,18,4,0.0,8.1,6.0,4879.71
1 - 2,1,2,19,4,0.0,7.4,0.0,4879.71
1 - 2,1,2,20,4,0.0,7.2,0.0,4879.71
1 - 2,1,2,21,4,0.0,7.2,0.0,4879.71
1 - 2,1,2,22,4,0.0,7.1,0.0,4879.71
1 - 2,1,2,23,4,0.0,7.0,0.0,4879.71
1 - 3,1,3,0,5,0.0,7.1,0.0,5467.94
1 - 3,1,3,1,5,0.0,7.6,0.0,5467.94
1 - 3,1,3,2,5,0.0,7.9,0.0,5467.94
1 - 3,1,3,3,5,0.0,7.9,0.0,5467.94
1 - 3,1,3,4,5,0.0,7.2,0.0,5467.94
1 - 3,1,3,5,5,0.0,6.2,0.0,5467.94
1 - 3,1,3,6,5,0.0,4.5,0.0,5467.94
1 - 3,1,3,7,5,11.687857,3.7,0.0,5467.94
1 - 3,1,3,8,5,27.005611,2.9,0.0,5467.94
1 - 3,1,3,9,5,63.19612,1.2,0.0,5467.94
1 - 3,1,3,10,5,101.0163,0.6,7.0,5467.94
1 - 3,1,3,11,5,78.127,0.5,30.0,5467.94
1 - 3,1,3,12,5,60.654587,0.6,62.0,5467.94
1 - 3,1,3,13,5,29.675577,1.1,97.0,5467.94
1 - 3,1,3,14,5,12.90107,1.2,86.0,5467.94
1 - 3,1,3,15,5,0.0,0.6,50.0,5467.94
1 - 3,1,3,16,5,0.0,-0.0,47.0,5467.94
1 - 3,1,3,17,5,0.0,-0.3,25.0,5467.94
1 - 3,1,3,18,5,0.0,-0.2,3.0,5467.94
1 - 3,1,3,19,5,0.0,-0.4,0.0,5467.94
1 - 3,1,3,20,5,0.0,-0.7,0.0,5467.94
1 - 3,1,3,21,5,0.0,-0.9,0.0,5467.94
1 - 3,1,3,22,5,0.0,-0.9,0.0,5467.94
1 - 3,1,3,23,5,0.0,-1.1,0.0,5467.94
1 - 4,1,4,0,6,0.0,-1.5,0.0,5601.63
1 - 4,1,4,1,6,0.0,-1.9,0.0,5601.63
1 - 4,1,4,2,6,0.0,-2.0,0.0,5601.63
1 - 4,1,4,3,6,0.0,-1.4,0.0,5601.63
1 - 4,1,4,4,6,0.0,-1.1,0.0,5601.63
1 - 4,1,4,5,6,0.0,-1.5,0.0,5601.63
1 - 4,1,4,6,6,0.0,-1.8,0.0,5601.63
1 - 4,1,4,7,6,35.175114,-1.5,0.0,5601.63
1 - 4,1,4,8,6,55.784985,-1.2,0.0,5601.63
1 - 4,1,4,9,6,59.483013,-0.9,0.0,5601.63
1 - 4,1,4,10,6,61.824757,-1.5,12.0,5601.63
1 - 4,1,4,11,6,59.076054,-1.1,69.0,5601.63
1 - 4,1,4,12,6,51.80662,-0.5,129.0,5601.63
1 - 4,1,4,13,6,44.372257,0.0,262.0,5601.63
1 - 4,1,4,14,6,17.128223,0.2,296.0,5601.63
1 - 4,1,4,15,6,0.0,1.0,266.0,5601.63
1 - 4,1,4,16,6,0.0,0.8,191.0,5601.63
1 - 4,1,4,17,6,0.0,-0.2,84.0,5601.63
1 - 4,1,4,18,6,0.0,-0.6,7.0,5601.63
1 - 4,1,4,19,6,0.0,-1.4,0.0,5601.63
1 - 4,1,4,20,6,0.0,-1.7,0.0,5601.63
1 - 4,1,4,21,6,0.0,-2.4,0.0,5601.63
1 - 4,1,4,22,6,0.0,-2.7,0.0,5601.63
1 - 4,1,4,23,6,0.0,-2.8,0.0,5601.63
1 - 5,1,5,0,7,0.0,-3.4,0.0,4960.2
1 - 5,1,5,1,7,0.0,-3.4,0.0,4960.2
1 - 5,1,5,2,7,0.0,-4.2,0.0,4960.2
1 - 5,1,5,3,7,0.0,-4.5,0.0,4960.2
1 - 5,1,5,4,7,0.0,-4.5,0.0,4960.2
1 - 5,1,5,5,7,0.0,-4.6,0.0,4960.2
1 - 5,1,5,6,7,0.0,-5.4,0.0,4960.2
1 - 5,1,5,7,7,28.467247,-5.7,0.0,4960.2
1 - 5,1,5,8,7,52.4087,-6.0,0.0,4960.2
1 - 5,1,5,9,7,60.51659,-6.5,0.0,4960.2
1 - 5,1,5,10,7,61.785183,-6.5,23.0,4960.2
1 - 5,1,5,11,7,60.85828,-5.3,114.0,4960.2
1 - 5,1,5,12,7,54.301167,-3.2,208.0,4960.2
1 - 5,1,5,13,7,49.011227,-2.0,272.0,4960.2
1 - 5,1,5,14,7,29.887829,-0.8,291.0,4960.2
1 - 5,1,5,15,7,0.0,1.5,260.0,4960.2
1 - 5,1,5,16,7,0.0,1.3,174.0,4960.2
1 - 5,1,5,17,7,0.0,0.4,71.0,4960.2
1 - 5,1,5,18,7,0.0,-0.3,7.0,4960.2
1 - 5,1,5,19,7,0.0,-0.8,0.0,4960.2
1 - 5,1,5,20,7,0.0,-1.0,0.0,4960.2
1 - 5,1,5,21,7,0.0,-1.4,0.0,4960.2
1 - 5,1,5,22,7,0.0,-1.5,0.0,4960.2
1 - 5,1,5,23,7,0.0,-1.5,0.0,4960.2
1 - 6,1,6,0,1,0.0,-1.9,0.0,5631.18
1 - 6,1,6,1,1,0.0,-1.9,0.0,5631.18
1 - 6,1,6,2,1,0.0,-1.5,0.0,5631.18
1 - 6,1,6,3,1,0.0,-1.2,0.0,5631.18
1 - 6,1,6,4,1,0.0,-0.9,0.0,5631.18
1 - 6,1,6,5,1,0.0,-0.8,0.0,5631.18
1 - 6,1,6,6,1,0.0,-0.4,0.0,5631.18
1 - 6,1,6,7,1,20.804007,-0.4,0.0,5631.18
1 - 6,1,6,8,1,37.988007,-0.1,0.0,5631.18
1 - 6,1,6,9,1,101.69229,0.1,0.0,5631.18
1 - 6,1,6,10,1,123.53732,0.4,10.0,5631.18
1 - 6,1,6,11,1,126.91944,1.1,50.0,5631.18
1 - 6,1,6,12,1,104.1557,1.8,90.0,5631.18
1 - 6,1,6,13,1,76.21403,2.5,100.0,5631.18
1 - 6,1,6,14,1,24.942575,3.7,176.0,5631.18
1 - 6,1,6,15,1,0.0,5.1,185.0,5631.18
1 - 6,1,6,16,1,0.0,5.2,149.0,5631.18
1 - 6,1,6,17,1,0.0,4.0,71.0,5631.18
1 - 6,1,6,18,1,0.0,3.4,7.0,5631.18
1 - 6,1,6,19,1,0.0,2.3,0.0,5631.18
1 - 6,1,6,20,1,0.0,2.1,0.0,5631.18
1 - 6,1,6,21,1,0.0,2.2,0.0,5631.18
1 - 6,1,6,22,1,0.0,1.9,0.0,5631.18
1 - 6,1,6,23,1,0.0,1.8,0.0,5631.18
1 - 7,1,7,0,2,0.0,1.6,0.0,5365.77
1 - 7,1,7,1,2,0.0,1.7,0.0,5365.77
1 - 7,1,7,2,2,0.0,2.2,0.0,5365.77
1 - 7,1,7,3,2,0.0,2.0,0.0,5365.77
1 - 7,1,7,4,2,0.0,2.2,0.0,5365.77
1 - 7,1,7,5,2,0.0,2.3,0.0,5365.77
1 - 7,1,7,6,2,0.0,2.4,0.0,5365.77
1 - 7,1,7,7,2,16.037252,2.2,0.0,5365.77
1 - 7,1,7,8,2,33.054424,2.6,0.0,5365.77
1 - 7,1,7,9,2,27.38246,2.5,0.0,5365.77
1 - 7,1,7,10,2,26.23315,2.7,14.0,5365.77
1 - 7,1,7,11,2,40.973408,3.8,52.0,5365.77
1 - 7,1,7,12,2,61.2326,4.8,91.0,5365.77
1 - 7,1,7,13,2,42.07036,6.0,99.0,5365.77
1 - 7,1,7,14,2,4.61478,6.8,100.0,5365.77
1 - 7,1,7,15,2,0.0,7.9,100.0,5365.77
1 - 7,1,7,16,2,0.0,8.3,80.0,5365.77
1 - 7,1,7,17,2,0.0,7.6,41.0,5365.77
1 - 7,1,7,18,2,0.0,6.7,5.0,5365.77
1 - 7,1,7,19,2,0.0,6.0,0.0,5365.77
1 - 7,1,7,20,2,0.0,5.6,0.0,5365.77
1 - 7,1,7,21,2,0.0,4.8,0.0,5365.77
1 - 7,1,7,22,2,0.0,4.2,0.0,5365.77
1 - 7,1,7,23,2,0.0,4.0,0.0,5365.77
1 - 8,1,8,0,3,0.0,3.2,0.0,5972.0
1 - 8,1,8,1,3,0.0,3.5,0.0,5972.0
1 - 8,1,8,2,3,0.0,3.8,0.0,5972.0
1 - 8,1,8,3,3,0.0,3.5,0.0,5972.0
1 - 8,1,8,4,3,0.0,3.8,0.0,5972.0
1 - 8,1,8,5,3,0.0,3.8,0.0,5972.0
1 - 8,1,8,6,3,0.0,4.0,0.0,5972.0
1 - 8,1,8,7,3,25.226103,3.4,0.0,5972.0
1 - 8,1,8,8,3,65.74008,3.7,0.0,5972.0
1 - 8,1,8,9,3,77.18332,2.7,0.0,5972.0
1 - 8,1,8,10,3,104.321365,2.2,19.0,5972.0
1 - 8,1,8,11,3,110.97282,2.9,86.0,5972.0
1 - 8,1,8,12,3,91.79674,4.2,78.0,5972.0
1 - 8,1,8,13,3,74.984726,5.4,122.0,5972.0
1 - 8,1,8,14,3,25.06221,6.5,180.0,5972.0
1 - 8,1,8,15,3,0.0,7.3,176.0,5972.0
1 - 8,1,8,16,3,0.0,7.2,96.0,5972.0
1 - 8,1,8,17,3,0.0,6.8,45.0,5972.0
1 - 8,1,8,18,3,0.0,6.3,6.0,5972.0
1 - 8,1,8,19,3,0.0,5.5,0.0,5972.0
1 - 8,1,8,20,3,0.0,6.1,0.0,5972.0
1 - 8,1,8,21,3,0.0,7.3,0.0,5972.0
1 - 8,1,8,22,3,0.0,6.8,0.0,5972.0
1 - 8,1,8,23,3,0.0,6.5,0.0,5972.0
1 - 9,1,9,0,4,0.0,7.3,0.0,5944.56
1 - 9,1,9,1,4,0.0,6.3,0.0,5944.56
1 - 9,1,9,2,4,0.0,5.1,0.0,5944.56
1 - 9,1,9,3,4,0.0,4.5,0.0,5944.56
1 - 9,1,9,4,4,0.0,3.7,0.0,5944.56
1 - 9,1,9,5,4,0.0,3.1,0.0,5944.56
1 - 9,1,9,6,4,0.0,2.6,0.0,5944.56
1 - 9,1,9,7,4,34.01574,2.1,0.0,5944.56
1 - 9,1,9,8,4,55.169678,1.7,0.0,5944.56
1 - 9,1,9,9,4,80.37566,1.5,0.0,5944.56
1 - 9,1,9,10,4,107.10265,1.7,13.0,5944.56
1 - 9,1,9,11,4,121.8152,3.4,39.0,5944.56
1 - 9,1,9,12,4,103.32204,4.1,88.0,5944.56
1 - 9,1,9,13,4,71.64053,5.5,119.0,5944.56
1 - 9,1,9,14,4,28.430082,6.7,126.0,5944.56
1 - 9,1,9,15,4,0.0,8.1,121.0,5944.56
1 - 9,1,9,16,4,0.0,8.7,115.0,5944.56
1 - 9,1,9,17,4,0.0,8.3,58.0,5944.56
1 - 9,1,9,18,4,0.0,7.7,8.0,5944.56
1 - 9,1,9,19,4,0.0,6.7,0.0,5944.56
1 - 9,1,9,20,4,0.0,6.0,0.0,5944.56
1 - 9,1,9,21,4,0.0,5.1,0.0,5944.56
1 - 9,1,9,22,4,0.0,4.8,0.0,5944.56
1 - 9,1,9,23,4,0.0,4.3,0.0,5944.56
1 - 10,1,10,0,5,0.0,4.1,0.0,5748.89
1 - 10,1,10,1,5,0.0,3.9,0.0,5748.89
1 - 10,1,10,2,5,0.0,3.8,0.0,5748.89
1 - 10,1,10,3,5,0.0,3.0,0.0,5748.89
1 - 10,1,10,4,5,0.0,3.1,0.0,5748.89
1 - 10,1,10,5,5,0.0,2.9,0.0,5748.89
1 - 10,1,10,6,5,0.0,2.7,0.0,5748.89
1 - 10,1,10,7,5,35.7399,2.8,0.0,5748.89
1 - 10,1,10,8,5,68.54979,2.8,0.0,5748.89
1 - 10,1,10,9,5,115.03947,2.3,0.0,5748.89
1 - 10,1,10,10,5,121.23841,2.7,15.0,5748.89
1 - 10,1,10,11,5,99.709595,3.8,62.0,5748.89
1 - 10,1,10,12,5,67.39923,4.4,111.0,5748.89
1 - 10,1,10,13,5,62.978382,6.3,181.0,5748.89
1 - 10,1,10,14,5,16.14724,7.4,192.0,5748.89
1 - 10,1,10,15,5,0.0,3.8,105.0,5748.89
1 - 10,1,10,16,5,0.0,2.6,71.0,5748.89
1 - 10,1,10,17,5,0.0,1.4,25.0,5748.89
1 - 10,1,10,18,5,0.0,0.6,2.0,5748.89
1 - 10,1,10,19,5,0.0,-0.0,0.0,5748.89
1 - 10,1,10,20,5,0.0,0.2,0.0,5748.89
1 - 10,1,10,21,5,0.0,0.3,0.0,5748.89
1 - 10,1,10,22,5,0.0,0.4,0.0,5748.89
1 - 10,1,10,23,5,0.0,0.4,0.0,5748.89
1 - 11,1,11,0,6,0.0,0.2,0.0,6321.73
1 - 11,1,11,1,6,0.0,0.1,0.0,6321.73
1 - 11,1,11,2,6,0.0,-0.1,0.0,6321.73
1 - 11,1,11,3,6,0.0,-0.5,0.0,6321.73
1 - 11,1,11,4,6,0.0,-1.0,0.0,6321.73
1 - 11,1,11,5,6,0.0,-1.4,0.0,6321.73
1 - 11,1,11,6,6,0.0,-2.5,0.0,6321.73
1 - 11,1,11,7,6,29.338692,-3.1,0.0,6321.73
1 - 11,1,11,8,6,53.364056,-3.6,0.0,6321.73
1 - 11,1,11,9,6,67.68052,-3.4,0.0,6321.73
1 - 11,1,11,10,6,77.02698,-3.2,26.0,6321.73
1 - 11,1,11,11,6,85.76703,-1.9,122.0,6321.73
1 - 11,1,11,12,6,77.843376,0.1,220.0,6321.73
1 - 11,1,11,13,6,68.43532,1.5,287.0,6321.73
1 - 11,1,11,14,6,33.694633,2.2,308.0,6321.73
1 - 11,1,11,15,6,0.0,3.2,278.0,6321.73
1 - 11,1,11,16,6,0.0,3.0,204.0,6321.73
1 - 11,1,11,17,6,0.0,2.0,99.0,6321.73
1 - 11,1,11,18,6,0.0,1.0,12.0,6321.73
1 - 11,1,11,19,6,0.0,0.3,0.0,6321.73
1 - 11,1,11,20,6,0.0,-0.2,0.0,6321.73
1 - 11,1,11,21,6,0.0,-1.2,0.0,6321.73
1 - 11,1,11,22,6,0.0,-1.5,0.0,6321.73
1 - 11,1,11,23,6,0.0,-1.7,0.0,6321.73
1 - 12,1,12,0,7,0.0,-2.1,0.0,5422.54
1 - 12,1,12,1,7,0.0,-2.5,0.0,5422.54
1 - 12,1,12,2,7,0.0,-2.6,0.0,5422.54
1 - 12,1,12,3,7,0.0,-2.1,0.0,5422.54
1 - 12,1,12,4,7,0.0,-1.9,0.0,5422.54
1 - 12,1,12,5,7,0.0,-1.7,0.0,5422.54
1 - 12,1,12,6,7,0.0,-1.6,0.0,5422.54
1 - 12,1,12,7,7,33.363617,-1.6,0.0,5422.54
1 - 12,1,12,8,7,66.2594,-1.7,0.0,5422.54
1 - 12,1,12,9,7,111.25803,-1.9,0.0,5422.54
1 - 12,1,12,10,7,119.5906,-2.3,27.0,5422.54
1 - 12,1,12,11,7,99.48483,-1.3,121.0,5422.54
1 - 12,1,12,12,7,106.187675,0.7,218.0,5422.54
1 - 12,1,12,13,7,50.421703,1.3,227.0,5422.54
1 - 12,1,12,14,7,25.192472,1.7,195.0,5422.54
1 - 12,1,12,15,7,0.0,2.7,205.0,5422.54
1 - 12,1,12,16,7,0.0,2.1,113.0,5422.54
1 - 12,1,12,17,7,0.0,1.6,61.0,5422.54
1 - 12,1,12,18,7,0.0,0.9,9.0,5422.54
1 - 12,1,12,19,7,0.0,0.3,0.0,5422.54
1 - 12,1,12,20,7,0.0,-0.0,0.0,5422.54
1 - 12,1,12,21,7,0.0,-0.4,0.0,5422.54
1 - 12,1,12,22,7,0.0,-0.5,0.0,5422.54
1 - 12,1,12,23,7,0.0,-0.6,0.0,5422.54
1 - 13,1,13,0,1,0.0,-0.1,0.0,5866.62
1 - 13,1,13,1,1,0.0,-0.4,0.0,5866.62
1 - 13,1,13,2,1,0.0,-0.5,0.0,5866.62
1 - 13,1,13,3,1,0.0,-0.3,0.0,5866.62
1 - 13,1,13,4,1,0.0,-0.5,0.0,5866.62
1 - 13,1,13,5,1,0.0,-0.6,0.0,5866.62
1 - 13,1,13,6,1,0.0,-0.7,0.0,5866.62
1 - 13,1,13,7,1,32.910294,-0.9,0.0,5866.62
1 - 13,1,13,8,1,62.68401,-1.0,0.0,5866.62
1 - 13,1,13,9,1,75.887665,-1.0,0.0,5866.62
1 - 13,1,13,10,1,81.02401,-1.2,20.0,5866.62
1 - 13,1,13,11,1,76.37661,-1.0,77.0,5866.62
1 - 13,1,13,12,1,76.48896,-0.7,154.0,5866.62
1 - 13,1,13,13,1,70.81613,-0.4,202.0,5866.62
1 - 13,1,13,14,1,29.296509,-0.2,243.0,5866.62
1 - 13,1,13,15,1,0.0,0.1,193.0,5866.62
1 - 13,1,13,16,1,0.0,-0.7,80.0,5866.62
1 - 13,1,13,17,1,0.0,-0.8,41.0,5866.62
1 - 13,1,13,18,1,0.0,-0.6,11.0,5866.62
1 - 13,1,13,19,1,0.0,-0.9,0.0,5866.62
1 - 13,1,13,20,1,0.0,-1.2,0.0,5866.62
1 - 13,1,13,21,1,0.0,-1.3,0.0,5866.62
1 - 13,1,13,22,1,0.0,-1.3,0.0,5866.62
1 - 13,1,13,23,1,0.0,-1.6,0.0,5866.62
1 - 14,1,14,0,2,0.0,-1.9,0.0,6070.95
1 - 14,1,14,1,2,0.0,-1.9,0.0,6070.95
1 - 14,1,14,2,2,0.0,-2.0,0.0,6070.95
1 - 14,1,14,3,2,0.0,-2.1,0.0,6070.95
1 - 14,1,14,4,2,0.0,-2.0,0.0,6070.95
1 - 14,1,14,5,2,0.0,-1.9,0.0,6070.95
1 - 14,1,14,6,2,0.0,-2.3,0.0,6070.95
1 - 14,1,14,7,2,34.399364,-2.7,0.0,6070.95
1 - 14,1,14,8,2,80.95913,-3.2,0.0,6070.95
1 - 14,1,14,9,2,98.92759,-3.8,0.0,6070.95
1 - 14,1,14,10,2,88.75037,-3.8,25.0,6070.95
1 - 14,1,14,11,2,71.536865,-3.2,116.0,6070.95
1 - 14,1,14,12,2,61.33074,-2.2,215.0,6070.95
1 - 14,1,14,13,2,50.168602,-1.6,278.0,6070.95
1 - 14,1,14,14,2,24.37662,-0.9,299.0,6070.95
1 - 14,1,14,15,2,0.0,0.4,273.0,6070.95
1 - 14,1,14,16,2,0.0,0.6,203.0,6070.95
1 - 14,1,14,17,2,0.0,0.2,101.0,6070.95
1 - 14,1,14,18,2,0.0,-0.3,14.0,6070.95
1 - 14,1,14,19,2,0.0,-1.1,0.0,6070.95
1 - 14,1,14,20,2,0.0,-1.7,0.0,6070.95
1 - 14,1,14,21,2,0.0,-3.2,0.0,6070.95
1 - 14,1,14,22,2,0.0,-3.7,0.0,6070.95
1 - 14,1,14,23,2,0.0,-4.0,0.0,6070.95
1 - 15,1,15,0,3,0.0,-4.0,0.0,6396.86
1 - 15,1,15,1,3,0.0,-3.9,0.0,6396.86
1 - 15,1,15,2,3,0.0,-3.9,0.0,6396.86
1 - 15,1,15,3,3,0.0,-3.8,0.0,6396.86
1 - 15,1,15,4,3,0.0,-3.7,0.0,6396.86
1 - 15,1,15,5,3,0.0,-3.5,0.0,6396.86
1 - 15,1,15,6,3,0.0,-3.6,0.0,6396.86
1 - 15,1,15,7,3,35.655407,-3.4,0.0,6396.86
1 - 15,1,15,8,3,91.85405,-3.4,0.0,6396.86
1 - 15,1,15,9,3,86.10112,-3.5,0.0,6396.86
1 - 15,1,15,10,3,132.3068,-3.1,15.0,6396.86
1 - 15,1,15,11,3,167.93327,-2.3,59.0,6396.86
1 - 15,1,15,12,3,138.47609,-1.2,110.0,6396.86
1 - 15,1,15,13,3,97.16657,-0.5,119.0,6396.86
1 - 15,1,15,14,3,43.096394,0.0,120.0,6396.86
1 - 15,1,15,15,3,0.0,1.0,146.0,6396.86
1 - 15,1,15,16,3,0.0,0.9,118.0,6396.86
1 - 15,1,15,17,3,0.0,0.5,71.0,6396.86
1 - 15,1,15,18,3,0.0,0.5,11.0,6396.86
1 - 15,1,15,19,3,0.0,0.1,0.0,6396.86
1 - 15,1,15,20,3,0.0,-0.3,0.0,6396.86
1 - 15,1,15,21,3,0.0,-0.8,0.0,6396.86
1 - 15,1,15,22,3,0.0,-1.2,0.0,6396.86
1 - 15,1,15,23,3,0.0,-1.6,0.0,6396.86
1 - 16,1,16,0,4,0.0,-1.6,0.0,6150.47
1 - 16,1,16,1,4,0.0,-1.8,0.0,6150.47
1 - 16,1,16,2,4,0.0,-2.0,0.0,6150.47
1 - 16,1,16,3,4,0.0,-1.5,0.0,6150.47
1 - 16,1,16,4,4,0.0,-1.1,0.0,6150.47
1 - 16,1,16,5,4,0.0,-1.2,0.0,6150.47
1 - 16,1,16,6,4,0.0,-0.9,0.0,6150.47
1 - 16,1,16,7,4,8.268747,-0.8,0.0,6150.47
1 - 16,1,16,8,4,31.337564,-0.8,0.0,6150.47
1 - 16,1,16,9,4,41.97575,-0.7,0.0,6150.47
1 - 16,1,16,10,4,58.364826,-0.5,7.0,6150.47
1 - 16,1,16,11,4,53.966396,-0.3,30.0,6150.47
1 - 16,1,16,12,4,46.20256,-0.3,52.0,6150.47
1 - 16,1,16,13,4,34.707825,0.1,68.0,6150.47
1 - 16,1,16,14,4,14.658305,0.3,65.0,6150.47
1 - 16,1,16,15,4,0.0,1.1,73.0,6150.47
1 - 16,1,16,16,4,0.0,1.2,50.0,6150.47
1 - 16,1,16,17,4,0.0,1.2,27.0,6150.47
1 - 16,1,16,18,4,0.0,1.1,7.0,6150.47
1 - 16,1,16,19,4,0.0,1.0,0.0,6150.47
1 - 16,1,16,20,4,0.0,0.9,0.0,6150.47
1 - 16,1,16,21,4,0.0,0.8,0.0,6150.47
1 - 16,1,16,22,4,0.0,0.8,0.0,6150.47
1 - 16,1,16,23,4,0.0,0.6,0.0,6150.47
1 - 17,1,17,0,5,0.0,0.7,0.0,6065.57
1 - 17,1,17,1,5,0.0,0.5,0.0,6065.57
1 - 17,1,17,2,5,0.0,0.3,0.0,6065.57
1 - 17,1,17,3,5,0.0,0.4,0.0,6065.57
1 - 17,1,17,4,5,0.0,0.3,0.0,6065.57
1 - 17,1,17,5,5,0.0,0.3,0.0,6065.57
1 - 17,1,17,6,5,0.0,0.2,0.0,6065.57
1 - 17,1,17,7,5,24.474606,0.2,0.0,6065.57
1 - 17,1,17,8,5,47.85823,0.2,0.0,6065.57
1 - 17,1,17,9,5,76.825516,0.6,0.0,6065.57
1 - 17,1,17,10,5,79.311935,0.6,18.0,6065.57
1 - 17,1,17,11,5,91.899025,1.4,74.0,6065.57
1 - 17,1,17,12,5,86.296616,3.3,170.0,6065.57
1 - 17,1,17,13,5,50.50696,4.6,244.0,6065.57
1 - 17,1,17,14,5,29.938608,5.8,281.0,6065.57
1 - 17,1,17,15,5,0.0,7.2,258.0,6065.57
1 - 17,1,17,16,5,0.0,7.3,190.0,6065.57
1 - 17,1,17,17,5,0.0,6.7,93.0,6065.57
1 - 17,1,17,18,5,0.0,5.8,15.0,6065.57
1 - 17,1,17,19,5,0.0,4.6,0.0,6065.57
1 - 17,1,17,20,5,0.0,3.8,0.0,6065.57
1 - 17,1,17,21,5,0.0,3.4,0.0,6065.57
1 - 17,1,17,22,5,0.0,2.7,0.0,6065.57
1 - 17,1,17,23,5,0.0,2.2,0.0,6065.57
1 - 18,1,18,0,6,0.0,2.2,0.0,5745.18
1 - 18,1,18,1,6,0.0,1.8,0.0,5745.18
1 - 18,1,18,2,6,0.0,1.4,0.0,5745.18
1 - 18,1,18,3,6,0.0,1.9,0.0,5745.18
1 - 18,1,18,4,6,0.0,1.7,0.0,5745.18
1 - 18,1,18,5,6,0.0,1.8,0.0,5745.18
1 - 18,1,18,6,6,0.0,2.0,0.0,5745.18
1 - 18,1,18,7,6,34.704983,2.2,0.0,5745.18
1 - 18,1,18,8,6,73.54244,2.2,0.0,5745.18
1 - 18,1,18,9,6,71.65655,2.4,0.0,5745.18
1 - 18,1,18,10,6,87.62428,2.6,26.0,5745.18
1 - 18,1,18,11,6,73.159874,3.6,110.0,5745.18
1 - 18,1,18,12,6,58.03323,5.4,153.0,5745.18
1 - 18,1,18,13,6,46.133007,6.6,232.0,5745.18
1 - 18,1,18,14,6,26.872335,7.9,276.0,5745.18
1 - 18,1,18,15,6,0.0,9.4,263.0,5745.18
1 - 18,1,18,16,6,0.0,9.3,196.0,5745.18
1 - 18,1,18,17,6,0.0,8.7,103.0,5745.18
1 - 18,1,18,18,6,0.0,7.9,17.0,5745.18
1 - 18,1,18,19,6,0.0,6.9,0.0,5745.18
1 - 18,1,18,20,6,0.0,6.1,0.0,5745.18
1 - 18,1,18,21,6,0.0,5.6,0.0,5745.18
1 - 18,1,18,22,6,0.0,4.9,0.0,5745.18
1 - 18,1,18,23,6,0.0,4.3,0.0,5745.18
1 - 19,1,19,0,7,0.0,4.4,0.0,5663.21
1 - 19,1,19,1,7,0.0,3.7,0.0,5663.21
1 - 19,1,19,2,7,0.0,3.1,0.0,5663.21
1 - 19,1,19,3,7,0.0,2.6,0.0,5663.21
1 - 19,1,19,4,7,0.0,1.8,0.0,5663.21
1 - 19,1,19,5,7,0.0,1.3,0.0,5663.21
1 - 19,1,19,6,7,0.0,1.0,0.0,5663.21
