Month,Day,Day_of_week,Hour,Minute,Hour_sin,Hour_cos,Minute_sin,Minute_cos,Day_of_week_sin,Day_of_week_cos,Day_sin,Day_cos,DAM_Price,Load,global_tilted_irradiance_instant,Temperature_2m,Shortwave_Radiation,Grid,outage_remaining_h,hours_till_outage,next_outage_duration
8,11,1,14,15,-0.4999999999999997,-0.8660254037844388,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1139.0,312.7,672.2645,23.3,590.0,1,0.0,24.0,0.0
8,11,1,14,30,-0.4999999999999997,-0.8660254037844388,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1139.0,312.7,672.2645,23.3,590.0,1,0.0,24.0,0.0
8,11,1,14,45,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1139.0,312.7,672.2645,23.3,590.0,1,0.0,24.0,0.0
8,11,1,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1750.0,383.78,698.9016,24.05,611.0,1,0.0,24.0,0.0
8,11,1,15,15,-0.7071067811865471,-0.7071067811865479,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1750.0,383.78,698.9016,24.05,611.0,1,0.0,24.0,0.0
8,11,1,15,30,-0.7071067811865471,-0.7071067811865479,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1750.0,383.78,698.9016,24.05,611.0,1,0.0,24.0,0.0
8,11,1,15,45,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1750.0,383.78,698.9016,24.05,611.0,1,0.0,24.0,0.0
8,11,1,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1250.0,355.8,644.1631,24.5,532.0,1,0.0,24.0,0.0
8,11,1,16,15,-0.8660254037844384,-0.5000000000000004,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1250.0,355.8,644.1631,24.5,532.0,1,0.0,24.0,0.0
8,11,1,16,30,-0.8660254037844384,-0.5000000000000004,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1250.0,355.8,644.1631,24.5,532.0,1,0.0,24.0,0.0
8,11,1,16,45,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1250.0,355.8,644.1631,24.5,532.0,1,0.0,24.0,0.0
8,11,1,17,0,-0.9659258262890684,-0.2588190451025206,0.0,1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1750.0,366.78,689.3775,24.3,421.0,1,0.0,24.0,0.0
8,11,1,17,15,-0.9659258262890684,-0.2588190451025206,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1750.0,366.78,689.3775,24.3,421.0,1,0.0,24.0,0.0
8,11,1,17,30,-0.9659258262890684,-0.2588190451025206,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1750.0,366.78,689.3775,24.3,421.0,1,0.0,24.0,0.0
8,11,1,17,45,-0.9659258262890684,-0.2588190451025206,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1750.0,366.78,689.3775,24.3,421.0,1,0.0,24.0,0.0
8,11,1,18,0,-1.0,-1.8369701987210287e-16,0.0,1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,3450.0,325.61,554.14844,23.95,362.0,1,0.0,24.0,0.0
8,11,1,18,15,-1.0,-1.8369701987210287e-16,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,3450.0,325.61,554.14844,23.95,362.0,1,0.0,24.0,0.0
8,11,1,18,30,-1.0,-1.8369701987210287e-16,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,3450.0,325.61,554.14844,23.95,362.0,1,0.0,24.0,0.0
8,11,1,18,45,-1.0,-1.8369701987210287e-16,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,3450.0,325.61,554.14844,23.95,362.0,1,0.0,24.0,0.0
8,11,1,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,5061.0,55.39,372.09793,23.3,239.0,1,0.0,24.0,0.0
8,11,1,19,15,-0.9659258262890684,0.2588190451025203,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,5061.0,55.39,372.09793,23.3,239.0,1,0.0,24.0,0.0
8,11,1,19,30,-0.9659258262890684,0.2588190451025203,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,5061.0,55.39,372.09793,23.3,239.0,1,0.0,24.0,0.0
8,11,1,19,45,-0.9659258262890684,0.2588190451025203,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,5061.0,55.39,372.09793,23.3,239.0,1,0.0,24.0,0.0
8,11,1,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,7372.34,57.22,169.71512,22.35,96.0,1,0.0,24.0,0.0
8,11,1,20,15,-0.8660254037844386,0.5000000000000001,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,7372.34,57.22,169.71512,22.35,96.0,1,0.0,24.0,0.0
8,11,1,20,30,-0.8660254037844386,0.5000000000000001,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,7372.34,57.22,169.71512,22.35,96.0,1,0.0,24.0,0.0
8,11,1,20,45,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,7372.34,57.22,169.71512,22.35,96.0,1,0.0,24.0,0.0
8,11,1,21,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,10002.61,60.16,27.578918,21.05,11.0,1,0.0,24.0,0.0
8,11,1,21,15,-0.7071067811865477,0.7071067811865474,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,10002.61,60.16,27.578918,21.05,11.0,1,0.0,24.0,0.0
8,11,1,21,30,-0.7071067811865477,0.7071067811865474,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,10002.61,60.16,27.578918,21.05,11.0,1,0.0,24.0,0.0
8,11,1,21,45,-0.7071067811865477,0.7071067811865474,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,10002.61,60.16,27.578918,21.05,11.0,1,0.0,24.0,0.0
8,11,1,22,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,11926.0,51.89,0.0,19.45,0.0,1,0.0,24.0,0.0
8,11,1,22,15,-0.5000000000000004,0.8660254037844384,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,11926.0,51.89,0.0,19.45,0.0,1,0.0,24.0,0.0
