step,action_battery,action_grid,soc,target_soc,solar_gen_kwh,solar_surplus_kwh,battery_kwh,grid_kwh,unmet_load_kwh,lcos_cost,mismatch,money_earned_ts
59,0.0,1.0,1.0,,25.1791,9.0241,-0.0,-9.0241,0.0,0.0,15.9759,10.0258
60,0.0,1.0,1.0,,21.3728,4.3003,-0.0,-4.3003,0.0,0.0,20.6997,11.3099
61,0.0,1.0,1.0,,21.3728,6.9428,-0.0,-6.9428,0.0,0.0,18.0572,18.2597
62,0.0,1.0,1.0,,21.3728,4.0728,-0.0,-4.0728,0.0,0.0,20.9272,10.7116
63,0.0,1.0,1.0,,21.3728,7.7953,-0.0,-7.7953,0.0,0.0,17.2047,20.5018
64,0.0,1.0,1.0,,14.6843,0.0,-0.0,2.3857,0.0,0.0,0.0,-23.8568
65,0.0,1.0,1.0,,14.6843,0.0,-0.0,2.9832,0.0,0.0,0.0,-29.8318
66,0.0,1.0,1.0,,14.6843,0.0,-0.0,2.2507,0.0,0.0,0.0,-22.5068
67,0.0,1.0,1.0,,14.6843,0.0,-0.0,1.9032,0.0,0.0,0.0,-19.0318
68,0.0,1.0,1.0,,5.2099,0.0,-0.0,12.0351,0.0,0.0,0.0,-120.3513
69,0.0,1.0,1.0,,5.2099,0.0,-0.0,8.2876,0.0,0.0,0.0,-82.8763
70,0.0,1.0,1.0,,5.2099,0.0,-0.0,9.0476,0.0,0.0,0.0,-90.4763
71,0.0,1.0,1.0,,5.2099,0.0,-0.0,8.6851,0.0,0.0,0.0,-86.8513
72,-1.0,-1.0,0.8125,,0.0,0.0,-35.625,0.0,0.0,56.25,25.0,0.0
73,-1.0,-1.0,0.625,,0.0,0.0,-35.625,0.0,0.0,56.25,25.0,0.0
74,-1.0,-1.0,0.4375,,0.0,0.0,-35.625,0.0,0.0,56.25,25.0,0.0
75,-1.0,-1.0,0.25,,0.0,0.0,-35.625,0.0,0.0,56.25,25.0,0.0
76,-1.0,-1.0,0.2,,0.0,0.0,-9.5,0.0,0.0,15.0,25.0,0.0
77,-1.0,-1.0,0.2,,0.0,0.0,-0.0,5.5875,0.0,0.0,0.0,-55.875
78,-1.0,-1.0,0.2,,0.0,0.0,-0.0,4.7375,0.0,0.0,0.0,-47.375
79,-1.0,-1.0,0.2,,0.0,0.0,-0.0,4.86,0.0,0.0,0.0,-48.6
80,-1.0,-1.0,0.2,,0.0,0.0,-0.0,5.5475,0.0,0.0,0.0,-55.475
81,-1.0,-1.0,0.2,,0.0,0.0,-0.0,5.97,0.0,0.0,0.0,-59.7
82,-1.0,-1.0,0.2,,0.0,0.0,-0.0,7.7375,0.0,0.0,0.0,-77.375
83,-1.0,-1.0,0.2,,0.0,0.0,-0.0,4.5225,0.0,0.0,0.0,-45.225
84,-1.0,-1.0,0.2,,0.0,0.0,-0.0,5.4025,0.0,0.0,0.0,-54.025
85,-1.0,-1.0,0.2,,0.0,0.0,-0.0,4.5025,0.0,0.0,0.0,-45.025
86,-1.0,-1.0,0.2,,0.0,0.0,-0.0,5.82,0.0,0.0,0.0,-58.2
87,-1.0,-1.0,0.2,,0.0,0.0,-0.0,5.5475,0.0,0.0,0.0,-55.475
88,-1.0,-1.0,0.2,,0.0,0.0,-0.0,4.7075,0.0,0.0,0.0,-47.075
89,-1.0,-1.0,0.2,,0.0,0.0,-0.0,4.58,0.0,0.0,0.0,-45.8
90,-1.0,-1.0,0.2,,0.0,0.0,-0.0,4.7225,0.0,0.0,0.0,-47.225
91,-1.0,-1.0,0.2,,0.0,0.0,-0.0,5.97,0.0,0.0,0.0,-59.7
92,-1.0,-1.0,0.2,,0.0,0.0,-0.0,5.155,0.0,0.0,0.0,-51.55
93,-1.0,-1.0,0.2,,0.0,0.0,-0.0,5.665,0.0,0.0,0.0,-56.65
94,-1.0,-1.0,0.2,,0.0,0.0,-0.0,5.4325,0.0,0.0,0.0,-54.325
95,-1.0,-1.0,0.2,,0.0,0.0,-0.0,5.3325,0.0,0.0,0.0,-53.325
