step,action_battery,action_grid,soc,target_soc,solar_gen_kwh,solar_surplus_kwh,battery_kwh,grid_kwh,unmet_load_kwh,lcos_cost,mismatch,money_earned_ts,reward,reward_market,reward_lcos,reward_unmet,reward_mismatch,reward_soc_soft,reward_reserve,reward_preparation
28,0.6386,0.2235,1.0,0.2,4.3421,4.3309,0.0,-4.3309,0.0,0.0,9.6378,32.5598,13.1641,32.5598,-0.0,0.0,-19.2757,-0.12,0.0,0.0
29,0.6359,0.2235,1.0,0.2,4.3421,4.3303,0.0,-4.3303,0.0,0.0,9.6408,32.5551,13.1535,32.5551,-0.0,0.0,-19.2817,-0.12,0.0,0.0
30,0.6338,0.2237,1.0,0.2,4.3421,4.3291,0.0,-4.3291,0.0,0.0,9.6494,32.5464,13.1276,32.5464,-0.0,0.0,-19.2988,-0.12,0.0,0.0
31,0.629,0.2238,1.0,0.2,4.3421,4.3285,0.0,-4.3285,0.0,0.0,9.6607,32.5418,13.1005,32.5418,-0.0,0.0,-19.3213,-0.12,0.0,0.0
32,0.46,0.313,1.0,0.2,11.345,11.2974,0.0,-11.2974,0.0,0.0,8.2633,85.1713,68.5247,85.1713,-0.0,0.0,-16.5266,-0.12,0.0,0.0
33,0.452,0.3129,1.0,0.2,11.345,11.2962,0.0,-11.2962,0.0,0.0,8.259,85.1618,68.5238,85.1618,-0.0,0.0,-16.518,-0.12,0.0,0.0
34,0.5087,0.3137,1.0,0.2,11.345,11.3083,0.0,-11.3083,0.0,0.0,8.3002,85.2535,68.5331,85.2535,-0.0,0.0,-16.6004,-0.12,0.0,0.0
35,0.4969,0.3136,1.0,0.2,11.345,11.307,0.0,-11.307,0.0,0.0,8.2907,85.2438,68.5423,85.2438,-0.0,0.0,-16.5815,-0.12,0.0,0.0
36,0.2395,0.3901,1.0,0.2,24.1029,24.066,0.0,-24.066,0.0,0.0,0.3137,177.9437,177.1962,177.9437,-0.0,0.0,-0.6274,-0.12,0.0,0.0
37,0.2434,0.3899,1.0,0.2,24.1029,24.0594,0.0,-24.0594,0.0,0.0,0.3079,177.895,177.1593,177.895,-0.0,0.0,-0.6157,-0.12,0.0,0.0
38,0.2433,0.3897,1.0,0.2,24.1029,24.0599,0.0,-24.0599,0.0,0.0,0.2973,177.8988,177.1842,177.8988,-0.0,0.0,-0.5946,-0.12,0.0,0.0
39,0.2473,0.39,1.0,0.2,24.1029,24.0561,0.0,-24.0561,0.0,0.0,0.3195,177.8709,177.1118,177.8709,-0.0,0.0,-0.639,-0.12,0.0,0.0
40,0.3016,0.4093,1.0,0.2,37.5958,37.5519,0.0,-25.5825,0.0,0.0,0.0,150.9366,150.8166,150.9366,-0.0,0.0,-0.0,-0.12,0.0,0.0
41,0.2564,0.4151,1.0,0.2,37.5958,37.5596,0.0,-25.9413,0.0,0.0,0.0,153.0538,152.9338,153.0538,-0.0,0.0,-0.0,-0.12,0.0,0.0
42,0.301,0.4097,1.0,0.2,37.5958,37.5526,0.0,-25.6052,0.0,0.0,0.0,151.071,150.951,151.071,-0.0,0.0,-0.0,-0.12,0.0,0.0
43,0.331,0.4075,1.0,0.2,37.5958,37.5485,0.0,-25.4698,0.0,0.0,0.0,150.2721,150.1521,150.2721,-0.0,0.0,-0.0,-0.12,0.0,0.0
44,0.5767,0.4085,1.0,0.2,48.9032,48.8668,0.0,-25.5336,0.0,0.0,0.0,51.0672,50.9472,51.0672,-0.0,0.0,-0.0,-0.12,0.0,0.0
45,0.5808,0.4081,1.0,0.2,48.9032,48.8667,0.0,-25.5067,0.0,0.0,0.0,51.0134,50.8934,51.0134,-0.0,0.0,-0.0,-0.12,0.0,0.0
