Date,Година,"Ціна, грн/МВт.год","Мінімальна ціна, грн/МВт.год","Максимальна ціна, грн/МВт.год","Остання ціна, грн/МВт.год","Обсяг продажу, МВт.год","Обсяг купівлі, МВт.год","Заявлений обсяг продажу, МВт.год","Заявлений обсяг купівлі, МВт.год"
2025-01-01,01:00,"3 476,08","3 395,00","3 499,97","3 499,97","124,0","124,0","420,3","165,9"
2025-01-01,02:00,"2 892,18","2 813,00","2 900,00","2 899,97","186,7","186,7","247,1","218,1"
2025-01-01,03:00,"2 431,40","2 366,80","2 440,00","2 439,99","211,5","211,5","383,9","348,5"
2025-01-01,04:00,"2 238,05","1 501,10","2 250,01","2 235,00","236,2","236,2","510,4","268,3"
2025-01-01,05:00,"1 928,91","1 881,80","1 940,01","1 939,97","231,4","231,4","518,8","261,4"
2025-01-01,06:00,"1 989,85","1 940,00","2 000,01","1 999,99","240,0","240,0","447,9","265,5"
2025-01-01,07:00,"748,71","629,00","1 999,99","750,00","229,5","229,5","312,8","258,6"
2025-01-01,08:00,"1 888,51","1 819,00","1 940,01","1 939,30","256,4","256,4","561,3","281,2"
2025-01-01,09:00,"955,08","749,00","6 900,00","990,00","307,4","307,4","406,6","355,3"
2025-01-01,10:00,"825,71","500,00","875,00","875,00","286,4","286,4","447,5","316,0"
2025-01-01,11:00,"468,26","340,00","490,00","490,00","304,0","304,0","618,5","343,6"
2025-01-01,12:00,"484,50","250,00","500,00","498,00","290,1","290,1","651,9","325,5"
2025-01-01,13:00,"468,36","300,00","490,00","490,00","301,2","301,2","553,1","326,3"
2025-01-01,14:00,"1 151,14","899,00","1 500,00","1 500,00","203,2","203,2","353,9","457,7"
2025-01-01,15:00,"3 003,47","2 579,99","5 600,00","2 637,00","152,4","152,4","209,3","440,2"
2025-01-01,16:00,"4 102,74","3 498,99","4 180,00","4 179,97","192,2","192,2","543,8","240,5"
2025-01-01,17:00,"5 179,26","4 760,00","5 200,00","5 200,00","192,5","192,5","297,4","236,8"
2025-01-01,18:00,"8 274,14","8 051,00","8 300,00","8 299,00","164,6","164,6","414,9","203,0"
2025-01-01,19:00,"8 154,71","7 000,00","8 200,00","8 199,90","155,9","155,9","364,3","184,7"
2025-01-01,20:00,"6 452,36","5 000,00","6 600,00","6 599,90","203,0","203,0","454,1","274,9"
2025-01-01,21:00,"6 567,86","5 601,00","6 600,00","6 598,00","225,9","225,9","730,8","299,5"
2025-01-01,22:00,"5 958,30","5 800,60","5 980,00","5 969,99","211,3","211,3","544,1","243,7"
2025-01-01,23:00,"4 160,01","4 054,60","4 179,99","4 179,98","250,8","250,8","398,4","353,7"
2025-01-01,24:00,"3 952,13","3 850,90","3 969,99","3 969,99","163,8","163,8","472,7","208,4"
2025-01-02,01:00,"2 490,62","2 450,00","2 498,57","2 498,57","84,7","84,7","299,6","100,9"
2025-01-02,02:00,"2 662,36","2 624,00","2 663,99","2 663,98","150,3","150,3","361,6","164,4"
2025-01-02,03:00,"1 998,69","1 960,00","1 999,99","1 999,98","189,9","189,9","486,3","199,2"
2025-01-02,04:00,"1 188,50","1 100,00","1 198,99","1 195,00","181,1","181,1","414,5","196,8"
2025-01-02,05:00,"1 998,49","1 950,00","1 999,99","1 999,98","173,7","173,7","574,8","182,1"
2025-01-02,06:00,"2 487,46","2 000,00","2 499,99","2 490,00","171,6","171,6","343,2","175,6"
2025-01-02,07:00,"3 995,85","3 950,00","3 998,57","3 998,57","90,0","90,0","378,1","105,9"
2025-01-02,08:00,"5 374,42","5 300,00","5 380,00","5 380,00","109,9","109,9","331,2","136,4"
2025-01-02,09:00,"4 678,51","4 640,00","4 680,00","4 679,99","157,6","157,6","229,5","217,4"
2025-01-02,10:00,"4 995,64","4 950,00","5 000,00","4 999,95","177,7","177,7","379,5","228,2"
2025-01-02,11:00,"4 394,90","4 300,00","4 400,00","4 399,99","177,7","177,7","426,3","285,0"
2025-01-02,12:00,"4 646,51","4 200,00","4 650,00","4 649,00","123,3","123,3","301,6","206,5"
2025-01-02,13:00,"4 344,19","4 300,00","4 348,57","4 348,57","121,8","121,8","429,7","195,2"
2025-01-02,14:00,"4 642,30","2 650,00","4 650,00","2 650,00","110,5","110,5","296,3","162,1"
2025-01-02,15:00,"5 514,90","5 000,00","5 567,00","5 567,00","88,7","88,7","400,6","125,8"
2025-01-02,16:00,"5 491,37","5 389,99","5 500,00","5 499,99","130,6","130,6","478,1","168,2"
2025-01-02,17:00,"5 560,88","5 497,00","5 566,31","5 566,31","185,4","185,4","328,2","269,1"
2025-01-02,18:00,"8 144,58","7 000,00","8 200,00","8 199,97","137,4","137,4","461,5","146,8"
2025-01-02,19:00,"8 113,54","7 000,00","8 200,00","8 199,97","101,5","101,5","420,8","168,4"
2025-01-02,20:00,"7 066,43","6 000,00","7 099,99","7 099,00","152,4","152,4","616,9","231,9"
2025-01-02,21:00,"6 586,07","5 000,00","6 599,99","6 599,93","154,5","154,5","775,3","183,1"
2025-01-02,22:00,"5 957,54","5 860,40","5 979,99","5 979,96","187,8","187,8","723,0","272,0"
2025-01-02,23:00,"4 969,03","4 880,40","4 980,00","4 979,97","263,2","263,2","489,3","373,4"
2025-01-02,24:00,"4 767,95","4 700,00","4 780,00","4 740,00","153,5","153,5","548,1","226,6"
2025-01-03,01:00,"3 794,19","3 750,00","3 800,00","3 798,00","248,1","248,1","396,9","268,2"
2025-01-03,02:00,"2 515,80","2 450,00","3 000,00","2 500,00","223,2","223,2","297,4","331,7"
2025-01-03,03:00,"2 017,85","1 996,90","2 500,00","2 000,00","228,6","228,6","302,3","286,5"
2025-01-03,04:00,"2 009,54","1 975,01","2 300,00","1 999,00","204,1","204,1","311,5","226,2"
2025-01-03,05:00,"1 986,08","1 000,00","1 999,99","1 975,99","171,7","171,7","297,4","191,1"
2025-01-03,06:00,"2 489,93","2 402,00","2 496,93","2 496,93","119,1","119,1","264,9","133,2"
2025-01-03,07:00,"3 913,95","3 877,00","3 916,93","3 916,93","95,5","95,5","432,0","116,9"
2025-01-03,08:00,"5 373,15","5 323,00","5 380,00","5 379,98","140,7","140,7","327,2","155,3"
2025-01-03,09:00,"6 180,11","5 198,00","6 200,00","6 199,98","119,6","119,6","227,5","142,2"
2025-01-03,10:00,"6 791,01","5 778,00","6 837,52","6 837,51","131,0","131,0","323,1","164,8"
2025-01-03,11:00,"6 198,58","6 102,00","6 200,00","6 198,00","238,3","238,3","344,7","261,5"
2025-01-03,12:00,"5 562,53","5 510,00","5 564,71","5 540,00","241,6","241,6","398,8","312,8"
2025-01-03,13:00,"5 558,35","5 498,00","5 565,85","5 565,85","196,6","196,6","338,9","248,2"
2025-01-03,14:00,"5 593,77","5 515,00","5 600,00","5 600,00","206,9","206,9","298,9","260,9"
2025-01-03,15:00,"5 588,20","5 506,00","5 600,00","5 589,89","315,1","315,1","534,2","352,9"
2025-01-03,16:00,"5 564,76","5 002,00","5 600,00","5 320,00","180,4","180,4","508,9","229,2"
2025-01-03,17:00,"5 557,16","4 900,00","5 600,00","4 900,00","199,8","199,8","515,5","251,9"
2025-01-03,18:00,"7 808,96","7 014,00","8 000,00","7 600,00","138,0","138,0","666,2","219,1"
2025-01-03,19:00,"7 759,40","7 014,00","7 900,00","7 899,95","166,0","166,0","1 388,6","246,5"
2025-01-03,20:00,"6 949,33","6 400,00","6 975,00","6 973,99","255,0","255,0","554,0","271,8"
2025-01-03,21:00,"6 966,93","6 835,50","6 975,00","6 973,99","271,1","271,1","611,1","315,8"
2025-01-03,22:00,"5 953,24","5 150,00","5 980,00","5 978,99","309,3","309,3","597,9","353,4"
2025-01-03,23:00,"5 946,17","5 681,00","5 979,99","5 978,99","211,7","211,7","610,4","319,8"
2025-01-03,24:00,"6 166,22","5 890,00","6 199,99","6 198,90","136,8","136,8","732,3","180,2"
2025-01-04,01:00,"4 289,76","4 260,00","4 304,00","4 303,90","133,0","133,0","352,4","139,8"
2025-01-04,02:00,"3 901,55","3 870,00","3 919,99","3 912,97","130,7","130,7","367,3","155,6"
2025-01-04,03:00,"3 887,30","3 850,00","3 903,99","3 894,99","136,7","136,7","464,2","160,0"
2025-01-04,04:00,"2 880,59","2 790,00","2 889,99","2 882,97","119,9","119,9","375,2","129,6"
2025-01-04,05:00,"2 668,01","2 630,00","2 677,99","2 670,96","118,4","118,4","406,1","123,5"
2025-01-04,06:00,"3 903,04","3 770,00","3 919,99","3 770,00","109,3","109,3","445,4","114,5"
2025-01-04,07:00,"3 901,68","3 850,00","3 912,97","3 912,90","85,5","85,5","727,9","91,0"
2025-01-04,08:00,"4 560,05","3 575,00","4 584,00","4 583,99","118,3","118,3","403,3","135,4"
2025-01-04,09:00,"6 165,11","3 038,00","6 200,02","3 038,00","125,7","125,7","357,7","137,0"
2025-01-04,10:00,"6 162,05","5 600,10","6 200,00","6 137,99","94,0","94,0","455,6","107,1"
2025-01-04,11:00,"4 563,93","4 500,00","4 584,00","4 576,97","165,9","165,9","561,0","288,8"
2025-01-04,12:00,"3 954,49","3 910,00","3 969,00","3 961,97","130,1","130,1","867,7","154,9"
2025-01-04,13:00,"3 095,20","2 990,00","3 141,97","3 137,00","138,7","138,7","838,9","175,3"
2025-01-04,14:00,"3 919,33","3 768,00","3 970,00","3 962,97","185,9","185,9","732,8","238,2"
2025-01-04,15:00,"4 881,16","4 000,10","4 980,00","4 880,40","220,4","220,4","532,3","235,2"
2025-01-04,16:00,"5 504,56","5 288,00","5 567,50","5 567,42","202,7","202,7","400,2","209,7"
2025-01-04,17:00,"5 534,99","5 300,00","5 600,00","5 499,99","173,4","173,4","396,2","224,0"
2025-01-04,18:00,"8 871,02","8 495,40","8 953,00","8 942,61","309,2","309,2","385,2","366,3"
2025-01-04,19:00,"8 353,21","7 980,00","8 410,00","8 400,00","333,1","333,1","364,0","356,4"
2025-01-04,20:00,"8 731,52","7 000,00","8 918,54","8 918,51","246,2","246,2","494,5","264,3"
2025-01-04,21:00,"8 578,33","7 000,00","8 947,11","8 768,17","160,3","160,3","741,5","229,1"
2025-01-04,22:00,"7 491,55","6 000,00","7 899,99","7 742,00","121,5","121,5","657,4","141,7"
2025-01-04,23:00,"6 070,13","5 001,00","6 180,00","6 172,00","203,1","203,1","668,1","308,7"
2025-01-04,24:00,"6 637,57","5 000,00","6 851,43","6 505,00","117,2","117,2","625,6","122,2"
2025-01-05,01:00,"4 665,33","2 745,00","4 744,53","2 745,00","97,1","97,1","368,5","112,2"
2025-01-05,02:00,"4 240,43","4 000,00","4 318,99","4 276,70","89,2","89,2","668,9","98,4"
2025-01-05,03:00,"3 848,63","3 500,00","3 919,51","3 919,51","108,6","108,6","695,4","116,1"
2025-01-05,04:00,"3 843,05","3 500,00","3 881,00","3 880,50","96,7","96,7","1 015,2","102,6"
2025-01-05,05:00,"3 840,69","3 500,00","3 881,00","3 880,75","79,8","79,8","1 005,9","89,2"
2025-01-05,06:00,"4 167,31","2 101,61","4 245,95","2 101,61","74,0","74,0","788,7","78,0"
2025-01-05,07:00,"4 248,45","4 000,00","4 319,53","4 319,53","75,9","75,9","706,3","90,0"
2025-01-05,08:00,"4 535,19","4 499,00","4 543,53","4 543,00","124,6","124,6","387,9","154,0"
2025-01-05,09:00,"4 654,19","4 500,00","4 679,99","4 679,90","137,1","137,1","333,2","190,2"
2025-01-05,10:00,"3 936,98","3 890,00","3 942,99","3 942,98","236,2","236,2","454,6","284,0"
2025-01-05,11:00,"2 843,66","2 000,10","2 850,01","2 000,10","272,1","272,1","655,1","313,5"
2025-01-05,12:00,"2 800,53","2 700,00","2 819,01","2 819,00","222,1","222,1","882,0","285,8"
2025-01-05,13:00,"2 837,53","2 700,00","2 850,01","2 850,00","216,6","216,6","780,5","273,5"
2025-01-05,14:00,"2 975,58","2 800,00","2 998,01","2 997,94","223,0","223,0","567,7","268,5"
2025-01-05,15:00,"3 930,71","3 850,00","3 943,01","3 937,00","207,5","207,5","663,4","318,6"
2025-01-05,16:00,"5 511,75","5 050,00","5 521,00","5 521,00","180,6","180,6","200,6","227,0"
2025-01-05,17:00,"5 593,17","5 435,00","5 600,00","5 600,00","206,1","206,1","206,1","245,1"
2025-01-05,18:00,"8 597,63","8 428,00","8 610,00","8 599,97","284,2","284,2","565,6","322,0"
2025-01-05,19:00,"8 086,97","7 938,00","8 110,00","8 100,00","268,0","268,0","507,0","292,7"
2025-01-05,20:00,"7 207,72","6 000,10","7 236,00","7 226,29","230,1","230,1","533,2","247,2"
2025-01-05,21:00,"6 766,47","6 664,00","6 810,00","6 700,00","217,6","217,6","438,3","281,3"
2025-01-05,22:00,"6 672,10","3 700,00","6 890,00","6 790,00","247,1","247,1","496,7","306,0"
2025-01-05,23:00,"4 925,37","4 800,00","4 990,00","4 979,93","319,9","319,9","693,0","461,0"
2025-01-05,24:00,"5 157,83","5 000,00","5 179,99","5 177,99","182,6","182,6","595,3","261,1"
2025-01-06,01:00,"3 913,23","3 875,20","3 916,93","3 916,93","91,2","91,2","236,7","134,0"
2025-01-06,02:00,"2 670,42","2 628,00","2 678,00","2 678,00","166,6","166,6","400,6","184,9"
2025-01-06,03:00,"2 491,93","2 450,00","2 500,00","2 496,93","158,8","158,8","540,1","178,7"
2025-01-06,04:00,"1 991,98","1 950,00","2 000,00","1 996,93","159,2","159,2","548,0","180,8"
2025-01-06,05:00,"1 990,40","1 950,00","2 000,00","1 996,93","131,3","131,3","561,1","153,0"
2025-01-06,06:00,"2 488,92","2 450,00","2 500,00","2 496,93","108,6","108,6","381,1","122,8"
2025-01-06,07:00,"2 878,13","2 840,00","2 890,00","2 886,93","93,3","93,3","278,0","115,2"
2025-01-06,08:00,"4 672,07","4 630,00","4 680,00","4 679,96","132,3","132,3","487,3","168,8"
2025-01-06,09:00,"6 575,55","2 800,00","6 800,00","6 799,98","94,9","94,9","319,7","115,5"
2025-01-06,10:00,"6 744,49","2 900,00","6 900,00","6 899,00","136,2","136,2","394,1","152,5"
2025-01-06,11:00,"6 755,92","2 900,00","6 899,99","6 899,95","143,5","143,5","407,4","162,4"
2025-01-06,12:00,"5 586,08","2 744,00","5 600,00","5 599,98","510,8","510,8","597,4","554,1"
2025-01-06,13:00,"5 596,66","5 100,00","5 600,00","5 599,00","392,2","392,2","439,3","492,9"
2025-01-06,14:00,"5 596,81","5 432,00","5 600,00","5 599,98","424,2","424,2","601,2","541,1"
2025-01-06,15:00,"5 595,12","2 744,00","5 600,00","2 744,00","479,2","479,2","588,7","580,3"
2025-01-06,16:00,"5 555,29","1 600,00","5 600,00","5 400,00","239,9","239,9","440,5","249,7"
2025-01-06,17:00,"5 542,26","1 600,00","5 600,00","5 599,95","222,2","222,2","390,5","231,3"
2025-01-06,18:00,"8 550,68","7 100,10","8 696,89","8 696,83","249,3","249,3","1 359,0","280,6"
2025-01-06,19:00,"8 014,03","3 969,00","8 100,00","8 096,93","248,8","248,8","699,9","271,4"
2025-01-06,20:00,"8 437,32","7 000,00","8 596,93","8 596,80","151,8","151,8","867,0","172,2"
2025-01-06,21:00,"7 774,15","6 500,00","7 896,93","7 896,92","170,9","170,9","902,1","181,4"
2025-01-06,22:00,"6 714,65","4 800,00","6 800,00","4 800,00","253,7","253,7","964,1","357,2"
2025-01-06,23:00,"5 909,88","4 500,10","5 980,01","5 975,00","275,9","275,9","754,2","425,1"
2025-01-06,24:00,"6 190,18","6 106,00","6 199,99","6 199,99","201,5","201,5","602,8","276,1"
2025-01-07,01:00,"3 901,03","3 850,00","3 920,00","3 850,00","114,1","114,1","448,3","133,2"
2025-01-07,02:00,"2 995,00","2 902,01","3 000,00","2 999,98","124,8","124,8","362,2","140,3"
2025-01-07,03:00,"2 489,26","2 402,01","2 500,00","2 490,74","188,6","188,6","488,0","268,7"
2025-01-07,04:00,"2 484,00","2 400,00","2 500,00","2 400,00","138,4","138,4","481,1","168,5"
2025-01-07,05:00,"2 482,39","2 400,01","2 500,00","2 499,97","137,0","137,0","575,7","172,5"
2025-01-07,06:00,"2 872,58","2 792,01","2 890,00","2 889,98","119,5","119,5","466,1","141,3"
2025-01-07,07:00,"3 853,93","3 750,10","3 889,00","3 888,97","110,7","110,7","720,3","141,2"
2025-01-07,08:00,"3 975,67","3 902,00","4 000,00","3 999,96","154,3","154,3","465,0","198,6"
2025-01-07,09:00,"6 378,79","6 270,00","6 400,00","6 399,97","150,3","150,3","365,7","175,6"
2025-01-07,10:00,"6 787,43","6 664,00","6 800,00","6 799,99","199,1","199,1","398,3","243,1"
2025-01-07,11:00,"5 860,14","5 755,00","5 880,00","5 785,01","226,0","226,0","569,9","254,6"
2025-01-07,12:00,"4 627,31","4 000,00","4 650,00","4 639,67","220,6","220,6","626,1","260,8"
2025-01-07,13:00,"4 319,89","4 220,00","4 350,00","4 250,00","300,2","300,2","787,9","352,7"
2025-01-07,14:00,"4 788,81","4 704,00","4 800,00","4 799,98","283,0","283,0","598,8","369,3"
2025-01-07,15:00,"5 563,10","5 456,72","5 600,00","5 568,09","280,7","280,7","420,3","344,4"
2025-01-07,16:00,"5 588,61","5 488,00","5 600,00","5 599,94","290,5","290,5","482,2","351,4"
2025-01-07,17:00,"5 593,76","5 488,00","5 600,00","5 600,00","318,5","318,5","364,1","363,2"
2025-01-07,18:00,"8 487,92","8 010,00","8 600,00","8 550,00","147,4","147,4","1 221,3","193,3"
2025-01-07,19:00,"8 083,02","7 938,00","8 100,00","8 100,00","365,8","365,8","526,5","486,0"
2025-01-07,20:00,"7 519,39","7 389,20","7 540,00","7 540,00","271,3","271,3","435,6","314,6"
2025-01-07,21:00,"7 071,75","6 949,18","7 091,00","7 090,99","276,5","276,5","618,2","360,9"
2025-01-07,22:00,"6 674,21","6 501,00","6 701,00","6 629,99","288,4","288,4","786,8","350,9"
2025-01-07,23:00,"5 903,35","5 500,00","5 980,00","5 950,00","237,6","237,6","893,6","339,6"
2025-01-07,24:00,"5 166,20","5 076,40","5 180,00","5 179,98","176,3","176,3","652,0","221,1"
2025-01-08,01:00,"3 886,12","3 840,00","3 888,99","3 888,98","153,5","153,5","438,3","195,4"
2025-01-08,02:00,"3 844,41","3 800,00","3 879,98","3 841,20","145,2","145,2","793,9","222,6"
2025-01-08,03:00,"2 863,36","2 100,00","2 889,99","2 861,10","206,9","206,9","892,6","333,2"
2025-01-08,04:00,"2 655,72","2 000,00","2 677,99","2 651,22","195,2","195,2","944,2","262,4"
2025-01-08,05:00,"2 655,30","2 620,00","2 677,99","2 651,22","193,7","193,7","900,6","260,3"
2025-01-08,06:00,"3 829,24","3 501,20","3 879,98","3 841,20","144,9","144,9","953,0","230,1"
2025-01-08,07:00,"4 287,25","4 242,00","4 288,99","4 288,95","151,3","151,3","978,4","182,3"
2025-01-08,08:00,"5 298,77","5 260,50","5 300,00","5 299,98","196,4","196,4","515,6","303,4"
2025-01-08,09:00,"6 873,78","6 835,30","6 875,30","6 875,28","239,0","239,0","428,8","341,8"
2025-01-08,10:00,"6 896,94","6 850,03","6 900,00","6 900,00","397,7","397,7","519,7","500,3"
2025-01-08,11:00,"6 587,16","6 515,50","6 600,00","6 599,99","224,9","224,9","647,8","288,1"
2025-01-08,12:00,"5 231,86","5 177,00","5 250,00","5 249,98","279,0","279,0","688,5","402,3"
2025-01-08,13:00,"4 625,88","4 550,00","4 650,00","4 649,87","332,5","332,5","869,3","376,7"
2025-01-08,14:00,"4 978,88","4 897,00","5 600,00","4 980,00","417,6","417,6","710,9","474,0"
2025-01-08,15:00,"5 587,26","5 000,00","5 600,00","5 580,00","425,6","425,6","719,4","513,6"
2025-01-08,16:00,"5 595,75","5 006,00","5 600,00","5 599,96","459,5","459,5","766,8","527,9"
2025-01-08,17:00,"5 594,08","5 500,00","5 600,00","5 543,41","500,7","500,7","562,8","604,3"
2025-01-08,18:00,"8 839,06","8 705,01","8 950,00","8 950,00","207,8","207,8","1 499,5","284,6"
2025-01-08,19:00,"8 734,80","8 004,12","8 937,90","8 696,00","171,2","171,2","1 479,5","471,2"
2025-01-08,20:00,"8 832,97","8 750,00","8 940,21","8 835,83","179,6","179,6","1 298,4","249,7"
2025-01-08,21:00,"8 276,41","8 199,99","8 355,87","8 271,60","143,7","143,7","1 019,6","163,5"
2025-01-08,22:00,"8 073,12","7 800,00","8 093,96","8 092,00","170,4","170,4","1 347,8","228,7"
2025-01-08,23:00,"5 577,28","4 501,00","5 599,99","5 599,96","198,7","198,7","689,8","348,7"
2025-01-08,24:00,"6 787,91","5 500,99","6 875,13","5 500,99","178,6","178,6","1 534,0","237,7"
2025-01-09,01:00,"4 650,26","4 000,00","4 732,00","4 729,00","73,7","73,7","660,0","78,8"
2025-01-09,02:00,"4 260,46","3 022,60","4 317,98","3 022,60","127,3","127,3","835,4","140,1"
2025-01-09,03:00,"4 282,11","4 235,00","4 317,98","4 274,81","94,6","94,6","751,3","107,3"
2025-01-09,04:00,"3 833,58","3 380,00","3 879,98","3 841,19","116,5","116,5","1 142,7","128,7"
2025-01-09,05:00,"4 269,64","3 831,00","4 317,98","3 831,00","119,8","119,8","1 149,7","132,4"
2025-01-09,06:00,"4 274,15","4 235,00","4 280,00","4 276,80","88,6","88,6","831,4","109,9"
2025-01-09,07:00,"4 710,80","4 245,00","4 739,67","4 731,65","90,8","90,8","732,4","103,8"
2025-01-09,08:00,"6 800,37","6 000,11","6 875,37","6 875,37","88,5","88,5","520,7","102,4"
2025-01-09,09:00,"6 864,39","6 799,00","6 900,00","6 800,00","157,8","157,8","361,9","180,0"
2025-01-09,10:00,"6 896,29","6 000,10","6 900,00","6 830,00","249,7","249,7","439,9","286,6"
2025-01-09,11:00,"6 646,45","6 552,00","6 650,01","6 649,90","227,3","227,3","669,8","289,9"
2025-01-09,12:00,"4 977,79","4 930,20","5 400,00","4 979,80","240,4","240,4","568,2","266,6"
2025-01-09,13:00,"4 538,62","4 000,00","4 600,00","4 589,00","180,2","180,2","687,5","191,5"
2025-01-09,14:00,"4 989,52","4 930,50","5 600,00","4 979,80","212,5","212,5","550,2","280,0"
2025-01-09,15:00,"5 549,41","5 150,05","5 564,80","5 563,00","300,0","300,0","504,9","319,3"
2025-01-09,16:00,"5 594,55","5 250,10","5 600,00","5 599,94","343,6","343,6","718,2","359,3"
2025-01-09,17:00,"5 591,72","5 487,99","5 600,00","5 599,89","330,5","330,5","631,6","343,4"
2025-01-09,18:00,"8 070,67","7 102,00","8 190,00","8 035,00","128,7","128,7","1 196,7","233,9"
2025-01-09,19:00,"7 871,82","7 200,00","8 001,00","7 839,48","135,2","135,2","694,4","177,2"
2025-01-09,20:00,"8 063,82","7 922,00","8 115,00","8 114,40","127,7","127,7","965,7","147,8"
2025-01-09,21:00,"7 169,31","7 116,12","7 189,00","7 187,93","195,1","195,1","748,9","250,9"
2025-01-09,22:00,"6 778,74","6 700,00","6 789,98","6 789,98","181,4","181,4","684,3","262,7"
2025-01-09,23:00,"5 555,39","5 386,00","5 580,01","5 579,97","270,5","270,5","670,2","350,5"
2025-01-09,24:00,"6 851,77","6 700,00","6 876,95","6 876,95","140,4","140,4","865,6","231,7"
2025-01-10,01:00,"4 284,07","4 220,00","4 315,57","4 264,99","89,3","89,3","722,2","105,9"
2025-01-10,02:00,"3 849,89","3 805,00","3 876,57","3 876,56","86,2","86,2","860,8","109,9"
2025-01-10,03:00,"2 847,83","2 745,50","2 880,00","2 861,10","85,2","85,2","785,5","99,3"
2025-01-10,04:00,"2 478,14","2 390,00","2 500,01","2 475,00","130,9","130,9","855,7","146,6"
2025-01-10,05:00,"2 478,34","2 457,00","2 499,96","2 475,00","127,2","127,2","1 004,2","144,8"
2025-01-10,06:00,"3 466,05","3 410,00","3 497,56","3 465,00","103,1","103,1","872,3","123,9"
2025-01-10,07:00,"3 981,90","3 948,00","3 999,96","3 999,95","178,7","178,7","904,4","195,1"
2025-01-10,08:00,"5 379,08","5 341,01","5 380,00","5 379,97","302,0","302,0","838,5","363,3"
2025-01-10,09:00,"6 799,48","6 757,05","6 800,00","6 799,95","301,7","301,7","561,7","325,1"
2025-01-10,10:00,"6 899,72","6 861,00","6 900,00","6 900,00","502,0","502,0","583,3","630,2"
2025-01-10,11:00,"6 887,00","6 761,90","6 900,00","6 899,00","236,4","236,4","409,6","262,3"
2025-01-10,12:00,"5 599,89","5 580,00","5 600,00","5 580,00","701,6","701,6","756,4","897,0"
2025-01-10,13:00,"5 589,55","5 488,00","5 600,00","5 600,00","259,0","259,0","511,3","440,8"
2025-01-10,14:00,"5 593,72","5 502,00","5 600,00","5 600,00","291,9","291,9","433,3","580,1"
2025-01-10,15:00,"5 587,04","5 000,00","5 600,00","5 600,00","373,5","373,5","455,6","581,3"
2025-01-10,16:00,"5 576,54","5 000,00","5 600,00","5 599,99","208,3","208,3","600,9","277,4"
2025-01-10,17:00,"5 577,85","5 000,00","5 600,00","5 597,00","189,8","189,8","362,2","291,7"
2025-01-10,18:00,"7 908,86","7 000,10","7 997,57","7 829,00","164,9","164,9","903,5","258,5"
2025-01-10,19:00,"7 798,71","6 500,00","7 897,57","7 200,00","139,5","139,5","1 048,7","191,5"
2025-01-10,20:00,"7 752,14","6 500,00","7 860,00","7 200,00","104,9","104,9","1 144,3","130,3"
2025-01-10,21:00,"6 782,39","6 664,00","6 800,00","6 799,99","295,0","295,0","840,6","379,8"
2025-01-10,22:00,"6 525,26","6 450,00","6 542,98","6 542,57","248,0","248,0","1 063,6","306,5"
2025-01-10,23:00,"5 547,19","5 468,00","5 580,00","5 579,99","321,3","321,3","594,8","422,3"
2025-01-10,24:00,"6 766,81","6 606,10","6 799,96","6 789,94","124,5","124,5","843,3","167,7"
2025-01-11,01:00,"5 514,88","5 000,00","5 539,54","5 483,99","66,7","66,7","468,3","90,3"
2025-01-11,02:00,"5 124,99","5 100,00","5 128,20","5 101,00","95,5","95,5","732,0","125,7"
2025-01-11,03:00,"4 681,66","4 051,00","4 697,55","4 688,80","103,4","103,4","924,3","131,8"
2025-01-11,04:00,"4 260,93","4 060,00","4 264,92","4 259,00","97,7","97,7","936,8","126,3"
2025-01-11,05:00,"4 259,28","4 101,00","4 264,92","4 262,99","94,1","94,1","738,4","116,9"
2025-01-11,06:00,"4 694,01","4 648,00","4 697,55","4 695,99","98,9","98,9","696,5","119,3"
2025-01-11,07:00,"5 118,99","4 785,00","5 128,20","5 128,20","86,7","86,7","816,7","103,7"
2025-01-11,08:00,"5 361,96","5 180,00","5 380,00","5 374,99","200,9","200,9","776,8","224,6"
2025-01-11,09:00,"5 839,13","5 500,00","6 039,00","5 829,98","86,0","86,0","974,5","100,0"
2025-01-11,10:00,"6 478,62","3 400,00","6 732,00","6 299,99","98,9","98,9","936,7","111,4"
2025-01-11,11:00,"5 800,89","5 460,00","5 860,01","5 785,00","218,7","218,7","783,6","258,0"
2025-01-11,12:00,"5 062,93","4 500,00","5 250,00","5 200,00","289,1","289,1","1 684,1","315,5"
2025-01-11,13:00,"4 508,83","4 000,00","4 650,01","4 449,50","352,3","352,3","1 078,1","386,8"
2025-01-11,14:00,"4 487,95","3 999,00","4 650,01","4 449,50","335,0","335,0","1 171,0","350,1"
2025-01-11,15:00,"5 342,19","5 011,00","5 560,00","5 550,00","146,4","146,4","2 411,7","168,9"
2025-01-11,16:00,"5 308,07","5 002,00","5 561,00","5 430,00","126,2","126,2","2 510,0","146,5"
2025-01-11,17:00,"5 598,02","5 557,00","5 600,00","5 595,00","329,9","329,9","434,9","355,8"
2025-01-11,18:00,"8 838,56","7 754,00","9 000,00","8 859,00","160,7","160,7","954,0","194,6"
2025-01-11,19:00,"8 697,73","8 000,00","8 940,00","8 899,88","76,0","76,0","1 384,9","119,4"
2025-01-11,20:00,"8 889,09","8 700,69","8 940,00","8 900,00","138,2","138,2","556,4","191,4"
2025-01-11,21:00,"8 895,05","8 147,00","8 947,64","8 900,00","237,1","237,1","925,3","281,7"
