Date,Година,"Ціна, грн/МВт.год","Обсяг продажу, МВт.год","Обсяг купівлі, МВт.год","Заявлений обсяг продажу, МВт.год","Заявлений обсяг купівлі, МВт.год"
2025-01-01,01:00,"3 500,00","2 705,6","2 705,6","4 188,5","2 705,7"
2025-01-01,02:00,"2 900,00","2 669,8","2 669,8","4 246,7","2 669,9"
2025-01-01,03:00,"2 440,00","2 532,8","2 532,8","4 314,2","2 532,9"
2025-01-01,04:00,"2 250,00","2 446,1","2 446,1","4 411,7","2 446,2"
2025-01-01,05:00,"1 940,00","2 390,0","2 390,0","4 450,7","2 390,1"
2025-01-01,06:00,"2 000,00","2 388,0","2 388,0","4 403,5","2 388,1"
2025-01-01,07:00,"750,00","2 203,2","2 203,2","4 395,8","2 203,4"
2025-01-01,08:00,"1 940,00","2 236,2","2 236,2","4 264,4","2 236,4"
2025-01-01,09:00,"990,00","2 049,0","2 049,0","4 519,9","2 049,2"
2025-01-01,10:00,"875,00","2 368,1","2 368,1","5 043,1","2 368,3"
2025-01-01,11:00,"490,00","2 422,9","2 422,9","5 444,4","2 423,1"
2025-01-01,12:00,"500,00","2 508,1","2 508,1","5 134,6","2 508,3"
2025-01-01,13:00,"490,00","2 479,8","2 479,8","5 024,6","2 480,0"
2025-01-01,14:00,"1 111,00","2 523,2","2 523,2","4 717,5","2 523,4"
2025-01-01,15:00,"2 630,00","2 581,3","2 581,3","4 264,9","2 581,5"
2025-01-01,16:00,"4 180,00","2 847,0","2 847,0","4 541,3","2 847,2"
2025-01-01,17:00,"5 200,00","3 168,8","3 168,8","4 459,8","3 169,0"
2025-01-01,18:00,"8 300,00","3 315,9","3 315,9","4 393,0","3 316,1"
2025-01-01,19:00,"8 200,00","3 209,4","3 209,4","4 396,8","3 209,6"
2025-01-01,20:00,"6 600,00","3 049,9","3 049,9","4 393,9","3 050,0"
2025-01-01,21:00,"6 600,00","3 054,7","3 054,7","4 498,9","3 054,8"
2025-01-01,22:00,"5 980,00","2 902,9","2 902,9","4 124,0","2 903,0"
2025-01-01,23:00,"4 180,00","2 394,5","2 394,5","4 038,8","2 396,6"
2025-01-01,24:00,"3 970,00","2 555,4","2 555,4","4 274,8","2 573,5"
2025-01-02,01:00,"2 500,00","2 434,0","2 434,0","3 331,4","2 434,0"
2025-01-02,02:00,"2 664,00","2 556,3","2 556,3","3 567,1","2 599,3"
2025-01-02,03:00,"2 000,00","2 400,7","2 400,7","3 618,1","2 450,7"
2025-01-02,04:00,"1 199,00","2 347,6","2 347,6","3 662,4","2 347,6"
2025-01-02,05:00,"2 000,00","2 433,5","2 433,5","3 798,2","2 479,5"
2025-01-02,06:00,"2 500,00","2 451,6","2 451,6","3 831,5","2 494,6"
2025-01-02,07:00,"4 000,00","2 606,6","2 606,6","3 742,4","2 606,6"
2025-01-02,08:00,"5 380,00","2 899,5","2 899,5","4 102,4","2 899,5"
2025-01-02,09:00,"4 680,00","3 226,9","3 226,9","4 442,9","3 226,9"
2025-01-02,10:00,"5 000,00","3 637,1","3 637,1","4 809,7","3 637,1"
2025-01-02,11:00,"4 400,00","3 579,8","3 579,8","4 947,0","3 579,8"
2025-01-02,12:00,"4 650,00","3 663,6","3 663,6","4 378,8","3 663,6"
2025-01-02,13:00,"4 350,00","3 468,7","3 468,7","4 279,1","3 468,7"
2025-01-02,14:00,"4 650,00","3 342,2","3 342,2","4 077,2","3 342,2"
2025-01-02,15:00,"5 567,26","3 414,6","3 414,6","3 645,1","3 414,6"
2025-01-02,16:00,"5 500,00","3 646,8","3 646,8","4 194,0","3 646,8"
2025-01-02,17:00,"5 566,31","3 797,3","3 797,3","4 209,3","3 797,3"
2025-01-02,18:00,"8 200,00","3 521,3","3 521,3","4 450,5","3 521,3"
2025-01-02,19:00,"8 200,00","3 363,1","3 363,1","4 413,4","3 363,1"
2025-01-02,20:00,"7 100,00","3 294,2","3 294,2","4 355,1","3 294,2"
2025-01-02,21:00,"6 600,00","3 145,2","3 145,2","4 356,5","3 145,2"
2025-01-02,22:00,"5 980,00","2 979,2","2 979,2","3 927,1","2 979,2"
2025-01-02,23:00,"4 980,00","2 732,4","2 732,4","3 972,4","2 732,4"
2025-01-02,24:00,"4 780,00","2 871,1","2 871,1","4 029,7","2 871,1"
2025-01-03,01:00,"3 800,00","2 477,8","2 477,8","3 361,9","2 477,8"
2025-01-03,02:00,"2 500,00","2 326,0","2 326,0","3 535,4","2 326,0"
2025-01-03,03:00,"2 000,00","2 386,7","2 386,7","3 678,9","2 386,7"
2025-01-03,04:00,"1 999,00","2 315,0","2 315,0","3 747,1","2 315,0"
2025-01-03,05:00,"2 000,00","2 335,8","2 335,8","3 743,2","2 335,8"
2025-01-03,06:00,"2 500,00","2 334,1","2 334,1","3 491,0","2 334,1"
2025-01-03,07:00,"3 920,00","2 519,7","2 519,7","3 482,4","2 519,7"
2025-01-03,08:00,"5 380,00","2 890,2","2 890,2","3 721,9","2 890,2"
2025-01-03,09:00,"6 200,00","3 301,2","3 301,2","4 060,8","3 301,2"
2025-01-03,10:00,"6 837,52","3 826,2","3 826,2","4 312,3","3 826,2"
2025-01-03,11:00,"6 200,00","3 851,3","3 851,3","4 515,0","3 857,3"
2025-01-03,12:00,"5 564,71","3 880,0","3 880,0","4 119,5","3 880,0"
2025-01-03,13:00,"5 565,85","3 724,0","3 724,0","4 101,9","3 724,0"
2025-01-03,14:00,"5 600,00","3 696,7","3 696,7","3 855,4","3 755,8"
2025-01-03,15:00,"5 600,00","3 468,6","3 468,6","3 627,3","3 630,9"
2025-01-03,16:00,"5 600,00","3 785,4","3 785,4","3 990,2","3 785,4"
2025-01-03,17:00,"5 600,00","4 039,6","4 039,6","4 200,9","4 039,6"
2025-01-03,18:00,"8 000,00","3 734,1","3 734,1","4 415,4","3 734,1"
2025-01-03,19:00,"7 900,00","3 421,5","3 421,5","4 325,4","3 421,5"
2025-01-03,20:00,"6 975,00","3 379,7","3 379,7","4 372,0","3 379,7"
2025-01-03,21:00,"6 975,00","3 349,1","3 349,1","4 308,5","3 349,1"
2025-01-03,22:00,"5 980,00","3 030,1","3 030,1","4 128,1","3 030,1"
2025-01-03,23:00,"5 980,00","3 058,3","3 058,3","4 108,8","3 058,3"
2025-01-03,24:00,"6 200,00","3 135,7","3 135,7","3 908,1","3 135,7"
2025-01-04,01:00,"4 304,00","2 671,4","2 671,4","3 454,1","2 671,4"
2025-01-04,02:00,"3 920,00","2 633,7","2 633,7","3 628,9","2 633,7"
2025-01-04,03:00,"3 904,00","2 569,5","2 569,5","3 794,6","2 605,5"
2025-01-04,04:00,"2 890,00","2 557,5","2 557,5","3 936,0","2 557,5"
2025-01-04,05:00,"2 678,00","2 543,0","2 543,0","4 128,2","2 543,0"
2025-01-04,06:00,"3 920,00","2 526,1","2 526,1","4 018,8","2 546,1"
2025-01-04,07:00,"3 920,00","2 527,7","2 527,7","4 061,7","2 527,7"
2025-01-04,08:00,"4 584,00","2 749,9","2 749,9","4 174,6","2 749,9"
2025-01-04,09:00,"6 200,00","3 385,9","3 385,9","4 431,7","3 386,0"
2025-01-04,10:00,"6 200,00","3 898,7","3 898,7","4 981,3","3 898,8"
2025-01-04,11:00,"4 584,00","3 954,7","3 954,7","5 448,3","3 954,8"
2025-01-04,12:00,"3 969,00","3 942,3","3 942,3","5 304,1","3 942,4"
2025-01-04,13:00,"3 149,00","3 806,4","3 806,4","5 366,0","3 806,5"
2025-01-04,14:00,"3 970,00","3 762,6","3 762,6","5 059,5","3 762,7"
2025-01-04,15:00,"4 980,00","3 775,7","3 775,7","4 554,6","3 775,8"
2025-01-04,16:00,"5 567,44","3 895,7","3 895,7","4 406,3","3 895,8"
2025-01-04,17:00,"5 600,00","4 182,5","4 182,5","4 341,2","4 185,8"
2025-01-04,18:00,"8 942,61","4 028,7","4 028,7","4 394,6","4 028,8"
2025-01-04,19:00,"8 400,00","3 811,4","3 811,4","4 342,0","3 811,5"
2025-01-04,20:00,"8 918,51","3 681,6","3 681,6","4 093,8","3 681,7"
2025-01-04,21:00,"8 947,11","3 604,6","3 604,6","4 105,2","3 604,7"
2025-01-04,22:00,"7 900,00","3 368,1","3 368,1","4 344,2","3 368,2"
2025-01-04,23:00,"6 180,00","3 120,0","3 120,0","4 276,9","3 120,1"
2025-01-04,24:00,"6 851,44","3 237,8","3 237,8","3 992,3","3 237,9"
2025-01-05,01:00,"4 745,00","2 950,6","2 950,6","3 828,6","2 956,1"
2025-01-05,02:00,"4 320,00","2 830,0","2 830,0","4 046,8","2 861,0"
2025-01-05,03:00,"3 920,00","2 771,5","2 771,5","4 119,8","2 795,2"
2025-01-05,04:00,"3 920,00","2 715,6","2 715,6","4 244,3","2 775,6"
2025-01-05,05:00,"3 920,00","2 728,7","2 728,7","4 262,4","2 788,7"
2025-01-05,06:00,"4 289,00","2 764,1","2 764,1","4 043,2","2 811,4"
2025-01-05,07:00,"4 320,00","2 786,1","2 786,1","3 911,5","2 814,1"
2025-01-05,08:00,"4 544,00","2 860,9","2 860,9","4 011,6","2 880,9"
2025-01-05,09:00,"4 680,00","3 130,1","3 130,1","4 422,5","3 130,1"
2025-01-05,10:00,"3 943,00","3 413,8","3 413,8","4 990,8","3 413,8"
2025-01-05,11:00,"2 850,00","3 336,2","3 336,2","5 475,5","3 336,2"
2025-01-05,12:00,"2 819,00","3 373,1","3 373,1","5 238,3","3 373,1"
2025-01-05,13:00,"2 850,00","3 295,8","3 295,8","5 055,7","3 295,8"
2025-01-05,14:00,"2 998,00","3 354,2","3 354,2","4 858,7","3 354,2"
2025-01-05,15:00,"3 943,00","3 413,2","3 413,2","4 530,1","3 413,2"
2025-01-05,16:00,"5 521,00","3 626,1","3 626,1","4 342,0","3 626,1"
2025-01-05,17:00,"5 600,00","4 033,7","4 033,7","4 351,0","4 033,7"
2025-01-05,18:00,"8 600,00","3 909,9","3 909,9","4 482,2","3 909,9"
2025-01-05,19:00,"8 100,00","3 615,4","3 615,4","4 379,3","3 615,4"
2025-01-05,20:00,"7 226,35","3 470,3","3 470,3","4 233,0","3 470,3"
2025-01-05,21:00,"6 800,00","3 481,3","3 481,3","4 321,3","3 481,3"
2025-01-05,22:00,"6 790,00","3 388,3","3 388,3","4 361,4","3 388,3"
2025-01-05,23:00,"4 980,00","3 051,9","3 051,9","4 469,6","3 051,9"
2025-01-05,24:00,"5 180,00","3 258,4","3 258,4","4 263,5","3 258,4"
2025-01-06,01:00,"3 920,00","2 842,0","2 842,0","3 591,0","2 842,0"
2025-01-06,02:00,"2 678,00","2 808,1","2 808,1","3 782,0","2 808,1"
2025-01-06,03:00,"2 500,00","2 696,2","2 696,2","3 959,8","2 716,2"
2025-01-06,04:00,"2 000,00","2 654,9","2 654,9","4 027,9","2 654,9"
2025-01-06,05:00,"2 000,00","2 698,8","2 698,8","4 151,1","2 698,8"
2025-01-06,06:00,"2 500,00","2 601,6","2 601,6","4 094,5","2 605,6"
2025-01-06,07:00,"2 890,00","2 641,2","2 641,2","4 039,7","2 641,2"
2025-01-06,08:00,"4 680,00","3 072,4","3 072,4","4 196,1","3 072,4"
2025-01-06,09:00,"6 800,00","3 621,2","3 621,2","4 178,3","3 621,2"
2025-01-06,10:00,"6 900,00","4 079,3","4 079,3","4 225,0","4 119,9"
2025-01-06,11:00,"6 900,00","4 001,3","4 001,3","4 080,0","4 048,0"
2025-01-06,12:00,"5 600,00","3 623,8","3 623,8","3 692,5","4 042,4"
2025-01-06,13:00,"5 600,00","3 641,5","3 641,5","3 701,2","3 884,2"
2025-01-06,14:00,"5 600,00","3 578,9","3 578,9","3 638,6","3 857,3"
2025-01-06,15:00,"5 600,00","3 570,9","3 570,9","3 630,6","3 904,1"
2025-01-06,16:00,"5 600,00","4 000,8","4 000,8","4 102,0","4 000,8"
2025-01-06,17:00,"5 600,00","4 178,6","4 178,6","4 267,9","4 178,6"
2025-01-06,18:00,"8 700,00","3 780,2","3 780,2","4 344,7","3 780,9"
2025-01-06,19:00,"8 100,00","3 566,5","3 566,5","4 324,4","3 567,2"
2025-01-06,20:00,"8 600,00","3 563,1","3 563,1","4 186,8","3 563,1"
2025-01-06,21:00,"7 900,00","3 442,2","3 442,2","4 283,5","3 442,2"
2025-01-06,22:00,"6 800,00","3 293,2","3 293,2","4 346,7","3 293,2"
2025-01-06,23:00,"5 980,00","3 021,5","3 021,5","4 321,6","3 021,5"
2025-01-06,24:00,"6 200,00","3 286,1","3 286,1","4 420,6","3 286,1"
2025-01-07,01:00,"3 920,00","2 786,3","2 786,3","3 657,3","2 786,3"
2025-01-07,02:00,"3 000,00","2 837,4","2 837,4","4 039,3","2 837,9"
2025-01-07,03:00,"2 500,00","2 778,7","2 778,7","4 246,4","2 778,7"
2025-01-07,04:00,"2 500,00","2 745,2","2 745,2","4 395,2","2 755,2"
2025-01-07,05:00,"2 500,00","2 756,6","2 756,6","4 423,0","2 766,6"
2025-01-07,06:00,"2 890,00","2 718,1","2 718,1","4 305,8","2 723,1"
2025-01-07,07:00,"3 889,00","2 707,7","2 707,7","4 182,1","2 707,7"
2025-01-07,08:00,"4 000,00","2 835,9","2 835,9","4 425,6","2 835,9"
2025-01-07,09:00,"6 400,00","3 570,7","3 570,7","4 689,9","3 570,7"
2025-01-07,10:00,"6 800,00","3 980,2","3 980,2","5 008,6","3 980,2"
2025-01-07,11:00,"5 880,00","3 887,5","3 887,5","5 212,7","3 887,7"
2025-01-07,12:00,"4 650,00","3 782,9","3 782,9","4 779,7","3 782,9"
2025-01-07,13:00,"4 350,00","3 601,9","3 601,9","4 753,5","3 601,9"
2025-01-07,14:00,"4 800,00","3 659,4","3 659,4","4 561,1","3 659,4"
2025-01-07,15:00,"5 568,09","3 758,1","3 758,1","4 283,2","3 758,1"
2025-01-07,16:00,"5 600,00","3 969,0","3 969,0","4 459,8","3 969,0"
2025-01-07,17:00,"5 600,00","4 122,1","4 122,1","4 719,1","4 122,1"
2025-01-07,18:00,"8 600,00","4 054,4","4 054,4","5 030,8","4 054,4"
2025-01-07,19:00,"8 100,00","3 879,7","3 879,7","5 032,4","3 879,7"
2025-01-07,20:00,"7 540,00","3 638,7","3 638,7","4 962,8","3 638,7"
2025-01-07,21:00,"7 091,00","3 564,7","3 564,7","4 668,5","3 564,7"
2025-01-07,22:00,"6 701,00","3 280,3","3 280,3","4 468,7","3 280,3"
2025-01-07,23:00,"5 980,00","3 056,3","3 056,3","4 365,3","3 056,3"
2025-01-07,24:00,"5 180,00","3 156,3","3 156,3","4 456,2","3 156,3"
2025-01-08,01:00,"3 889,00","2 850,0","2 850,0","3 734,9","2 850,0"
2025-01-08,02:00,"3 880,00","2 815,4","2 815,4","3 965,0","2 835,4"
2025-01-08,03:00,"2 890,00","2 680,7","2 680,7","4 034,6","2 680,7"
2025-01-08,04:00,"2 678,00","2 631,8","2 631,8","4 151,1","2 631,8"
2025-01-08,05:00,"2 678,00","2 654,8","2 654,8","4 266,0","2 654,8"
2025-01-08,06:00,"3 880,00","2 720,1","2 720,1","4 207,8","2 735,1"
2025-01-08,07:00,"4 289,00","2 798,6","2 798,6","4 121,2","2 798,6"
2025-01-08,08:00,"5 300,00","3 071,5","3 071,5","4 268,0","3 071,5"
2025-01-08,09:00,"6 875,30","3 884,4","3 884,4","4 351,7","3 884,4"
2025-01-08,10:00,"6 900,00","4 283,1","4 283,1","4 614,2","4 427,2"
2025-01-08,11:00,"6 600,00","4 203,3","4 203,3","4 763,4","4 203,6"
2025-01-08,12:00,"5 250,00","4 083,4","4 083,4","4 637,8","4 083,7"
2025-01-08,13:00,"4 650,00","3 898,4","3 898,4","4 785,5","3 898,7"
2025-01-08,14:00,"4 980,00","3 983,4","3 983,4","4 742,3","3 983,7"
2025-01-08,15:00,"5 600,00","4 001,7","4 001,7","4 332,8","4 087,8"
2025-01-08,16:00,"5 600,00","4 145,5","4 145,5","4 476,6","4 294,2"
2025-01-08,17:00,"5 600,00","4 344,6","4 344,6","4 675,7","4 568,3"
2025-01-08,18:00,"8 950,66","4 455,4","4 455,4","4 834,0","4 455,6"
2025-01-08,19:00,"8 950,50","4 175,0","4 175,0","4 687,1","4 175,2"
2025-01-08,20:00,"8 943,81","4 034,9","4 034,9","4 678,3","4 035,1"
2025-01-08,21:00,"8 356,00","3 895,0","3 895,0","4 774,9","3 895,2"
2025-01-08,22:00,"8 094,00","3 634,9","3 634,9","4 545,8","3 635,1"
2025-01-08,23:00,"5 600,00","3 067,6","3 067,6","4 211,7","3 067,7"
2025-01-08,24:00,"6 875,14","3 310,0","3 310,0","4 148,8","3 310,1"
2025-01-09,01:00,"4 745,00","2 986,5","2 986,5","3 931,4","2 986,5"
2025-01-09,02:00,"4 318,00","2 861,6","2 861,6","4 125,3","2 904,4"
2025-01-09,03:00,"4 318,00","2 904,2","2 904,2","4 198,7","2 949,2"
2025-01-09,04:00,"3 880,00","2 854,7","2 854,7","4 318,2","2 897,1"
2025-01-09,05:00,"4 318,00","2 883,8","2 883,8","4 351,8","2 928,8"
2025-01-09,06:00,"4 320,00","2 895,2","2 895,2","4 242,1","2 915,2"
2025-01-09,07:00,"4 745,00","2 878,1","2 878,1","4 190,2","2 878,1"
2025-01-09,08:00,"6 875,37","3 429,3","3 429,3","4 083,1","3 452,3"
2025-01-09,09:00,"6 900,00","4 013,8","4 013,8","4 371,7","4 069,1"
2025-01-09,10:00,"6 900,00","4 529,2","4 529,2","4 760,3","4 546,2"
2025-01-09,11:00,"6 650,00","4 448,4","4 448,4","4 892,6","4 466,4"
2025-01-09,12:00,"4 980,00","4 351,2","4 351,2","4 643,0","4 351,5"
2025-01-09,13:00,"4 600,00","4 083,2","4 083,2","4 615,5","4 083,5"
2025-01-09,14:00,"4 980,00","4 046,5","4 046,5","4 355,2","4 046,8"
2025-01-09,15:00,"5 564,78","4 090,2","4 090,2","4 242,5","4 090,5"
2025-01-09,16:00,"5 600,00","4 284,1","4 284,1","4 327,7","4 284,3"
2025-01-09,17:00,"5 600,00","4 437,2","4 437,2","4 437,2","4 441,0"
2025-01-09,18:00,"8 200,00","4 121,0","4 121,0","5 015,6","4 121,2"
2025-01-09,19:00,"8 000,00","3 834,7","3 834,7","4 806,5","3 834,9"
2025-01-09,20:00,"8 116,00","3 962,9","3 962,9","4 813,0","3 963,1"
2025-01-09,21:00,"7 188,00","3 766,8","3 766,8","4 653,8","3 767,0"
2025-01-09,22:00,"6 790,00","3 540,8","3 540,8","4 441,1","3 541,0"
2025-01-09,23:00,"5 580,00","3 054,9","3 054,9","4 109,0","3 055,0"
2025-01-09,24:00,"6 877,01","3 230,2","3 230,2","4 056,0","3 230,3"
2025-01-10,01:00,"4 318,00","2 949,7","2 949,7","3 859,9","2 949,7"
2025-01-10,02:00,"3 879,00","2 783,1","2 783,1","4 091,7","2 841,1"
2025-01-10,03:00,"2 890,00","2 596,8","2 596,8","4 217,4","2 644,5"
2025-01-10,04:00,"2 500,00","2 516,1","2 516,1","4 277,1","2 563,4"
2025-01-10,05:00,"2 500,00","2 549,3","2 549,3","4 281,0","2 596,6"
2025-01-10,06:00,"3 500,00","2 599,8","2 599,8","4 018,8","2 624,9"
2025-01-10,07:00,"4 000,00","2 783,6","2 783,6","4 085,9","2 783,8"
2025-01-10,08:00,"5 380,00","3 192,5","3 192,5","4 276,4","3 192,5"
2025-01-10,09:00,"6 800,00","3 773,6","3 773,6","4 331,7","3 773,6"
2025-01-10,10:00,"6 900,00","4 132,7","4 132,7","4 367,3","4 393,0"
2025-01-10,11:00,"6 900,00","4 147,6","4 147,6","4 332,2","4 358,0"
2025-01-10,12:00,"5 600,00","3 755,0","3 755,0","3 839,6","4 225,2"
2025-01-10,13:00,"5 600,00","3 943,4","3 943,4","3 943,4","4 051,4"
2025-01-10,14:00,"5 600,00","3 892,4","3 892,4","3 892,4","4 047,1"
2025-01-10,15:00,"5 600,00","3 848,2","3 848,2","3 878,2","4 120,2"
2025-01-10,16:00,"5 600,00","4 145,5","4 145,5","4 193,5","4 292,2"
2025-01-10,17:00,"5 600,00","4 444,9","4 444,9","4 506,5","4 518,8"
2025-01-10,18:00,"8 000,00","4 016,6","4 016,6","5 050,1","4 016,8"
2025-01-10,19:00,"7 900,00","3 786,4","3 786,4","4 836,7","3 786,6"
2025-01-10,20:00,"7 900,00","3 944,9","3 944,9","4 811,4","3 945,1"
2025-01-10,21:00,"6 800,00","3 740,9","3 740,9","4 758,7","3 741,1"
2025-01-10,22:00,"6 543,00","3 485,8","3 485,8","4 571,4","3 486,0"
2025-01-10,23:00,"5 580,00","2 877,8","2 877,8","4 237,4","2 877,9"
2025-01-10,24:00,"6 800,00","3 226,1","3 226,1","4 294,5","3 226,2"
2025-01-11,01:00,"5 539,55","3 088,8","3 088,8","3 294,0","3 088,8"
2025-01-11,02:00,"5 180,00","2 866,1","2 866,1","3 412,0","2 930,1"
2025-01-11,03:00,"4 745,00","2 736,2","2 736,2","3 543,1","2 784,1"
2025-01-11,04:00,"4 308,00","2 695,2","2 695,2","3 607,8","2 711,9"
2025-01-11,05:00,"4 308,00","2 698,3","2 698,3","3 620,2","2 713,6"
2025-01-11,06:00,"4 745,00","2 699,0","2 699,0","3 693,5","2 711,2"
2025-01-11,07:00,"5 180,00","2 783,0","2 783,0","4 055,4","2 790,8"
2025-01-11,08:00,"5 380,00","2 877,6","2 877,6","4 353,6","2 877,6"
2025-01-11,09:00,"6 100,00","3 330,9","3 330,9","4 584,9","3 330,9"
2025-01-11,10:00,"6 800,00","3 920,7","3 920,7","4 960,0","3 920,7"
2025-01-11,11:00,"5 860,00","3 943,7","3 943,7","5 055,8","3 943,9"
2025-01-11,12:00,"5 250,00","3 945,5","3 945,5","4 632,8","3 945,5"
2025-01-11,13:00,"4 650,00","3 874,0","3 874,0","4 755,2","3 874,0"
2025-01-11,14:00,"4 650,00","3 789,9","3 789,9","4 645,8","3 789,9"
2025-01-11,15:00,"5 567,51","3 907,0","3 907,0","4 555,1","3 907,0"
2025-01-11,16:00,"5 600,00","4 126,4","4 126,4","4 546,0","4 126,4"
2025-01-11,17:00,"5 600,00","4 379,1","4 379,1","4 824,8","4 658,3"
2025-01-11,18:00,"9 000,00","4 360,5","4 360,5","4 856,2","4 394,8"
2025-01-11,19:00,"8 951,37","4 301,3","4 301,3","4 965,7","4 307,6"
2025-01-11,20:00,"8 950,69","4 149,9","4 149,9","4 928,7","4 156,2"
2025-01-11,21:00,"8 947,63","3 998,3","3 998,3","4 727,0","4 004,2"
2025-01-11,22:00,"8 950,18","3 823,2","3 823,2","4 552,5","3 829,0"
2025-01-11,23:00,"6 790,00","3 299,7","3 299,7","4 305,1","3 299,7"
2025-01-11,24:00,"6 872,01","3 314,8","3 314,8","4 056,8","3 314,8"
2025-01-12,01:00,"5 400,00","3 121,7","3 121,7","3 682,2","3 121,7"
2025-01-12,02:00,"5 180,00","2 947,9","2 947,9","3 803,4","2 992,9"
2025-01-12,03:00,"4 318,00","2 869,1","2 869,1","3 950,3","2 914,1"
2025-01-12,04:00,"3 879,00","2 779,2","2 779,2","4 062,6","2 827,3"
2025-01-12,05:00,"3 879,00","2 781,7","2 781,7","4 093,0","2 831,7"
2025-01-12,06:00,"4 308,00","2 756,3","2 756,3","4 032,0","2 798,3"
2025-01-12,07:00,"4 308,00","2 746,1","2 746,1","4 163,3","2 790,7"
2025-01-12,08:00,"4 680,00","2 865,0","2 865,0","4 482,4","2 900,0"
2025-01-12,09:00,"4 680,00","2 980,5","2 980,5","4 845,1","2 980,5"
2025-01-12,10:00,"4 800,00","3 393,4","3 393,4","5 501,8","3 393,4"
2025-01-12,11:00,"3 190,00","3 495,1","3 495,1","5 712,1","3 495,1"
2025-01-12,12:00,"2 890,00","3 372,3","3 372,3","5 336,7","3 372,3"
2025-01-12,13:00,"2 890,00","3 317,3","3 317,3","5 224,3","3 317,3"
2025-01-12,14:00,"3 500,00","3 364,1","3 364,1","4 986,6","3 364,1"
2025-01-12,15:00,"4 350,00","3 414,6","3 414,6","4 911,5","3 414,6"
2025-01-12,16:00,"5 100,00","3 626,8","3 626,8","5 051,8","3 626,8"
2025-01-12,17:00,"5 569,43","4 254,7","4 254,7","5 142,8","4 254,7"
2025-01-12,18:00,"8 600,00","4 184,3","4 184,3","5 321,0","4 184,3"
2025-01-12,19:00,"8 600,00","4 073,0","4 073,0","5 231,1","4 073,0"
2025-01-12,20:00,"7 900,00","4 005,8","4 005,8","5 159,8","4 005,8"
2025-01-12,21:00,"7 900,00","3 978,4","3 978,4","5 085,6","3 978,4"
2025-01-12,22:00,"7 999,00","3 808,7","3 808,7","4 791,7","3 808,7"
2025-01-12,23:00,"5 700,00","3 352,2","3 352,2","4 459,5","3 352,2"
2025-01-12,24:00,"6 600,00","3 212,1","3 212,1","4 300,9","3 212,1"
2025-01-13,01:00,"3 868,00","3 060,3","3 060,3","4 139,8","3 060,3"
2025-01-13,02:00,"3 300,00","2 862,6","2 862,6","4 401,5","2 897,6"
2025-01-13,03:00,"3 000,00","2 844,2","2 844,2","4 543,5","2 844,2"
2025-01-13,04:00,"2 678,00","2 761,7","2 761,7","4 699,3","2 761,7"
2025-01-13,05:00,"2 699,00","2 762,1","2 762,1","4 728,9","2 788,2"
2025-01-13,06:00,"3 000,00","2 692,1","2 692,1","4 645,5","2 718,1"
2025-01-13,07:00,"3 829,00","2 787,8","2 787,8","4 419,8","2 787,8"
2025-01-13,08:00,"6 507,00","3 473,3","3 473,3","4 519,0","3 495,3"
2025-01-13,09:00,"6 800,00","4 063,7","4 063,7","4 600,9","4 063,7"
2025-01-13,10:00,"6 875,10","4 599,2","4 599,2","5 011,6","4 599,2"
2025-01-13,11:00,"6 600,00","4 427,2","4 427,2","5 208,3","4 428,2"
2025-01-13,12:00,"5 250,00","4 320,3","4 320,3","4 810,6","4 320,4"
2025-01-13,13:00,"4 350,00","4 019,0","4 019,0","4 876,7","4 019,1"
2025-01-13,14:00,"5 250,00","4 061,3","4 061,3","4 645,9","4 061,4"
2025-01-13,15:00,"5 563,60","4 158,9","4 158,9","4 522,0","4 159,0"
2025-01-13,16:00,"5 600,00","4 402,6","4 402,6","4 504,9","4 408,9"
2025-01-13,17:00,"5 600,00","4 556,6","4 556,6","4 870,1","4 696,1"
2025-01-13,18:00,"8 936,24","4 364,5","4 364,5","5 230,0","4 364,5"
2025-01-13,19:00,"8 818,00","4 131,9","4 131,9","5 247,7","4 131,9"
2025-01-13,20:00,"7 900,00","4 022,4","4 022,4","5 250,7","4 022,4"
2025-01-13,21:00,"7 900,00","4 058,7","4 058,7","5 327,4","4 058,7"
2025-01-13,22:00,"7 680,00","3 915,6","3 915,6","5 055,4","3 915,6"
2025-01-13,23:00,"6 396,00","3 540,8","3 540,8","4 771,6","3 540,8"
2025-01-13,24:00,"6 650,00","3 294,8","3 294,8","4 571,7","3 294,8"
2025-01-14,01:00,"4 745,00","3 191,3","3 191,3","3 986,8","3 191,3"
2025-01-14,02:00,"3 500,00","2 887,9","2 887,9","4 374,3","2 887,9"
2025-01-14,03:00,"3 500,00","2 921,2","2 921,2","4 495,4","2 921,2"
2025-01-14,04:00,"3 000,00","2 864,5","2 864,5","4 644,2","2 864,5"
2025-01-14,05:00,"3 300,00","2 875,7","2 875,7","4 753,1","2 875,7"
2025-01-14,06:00,"3 500,00","2 847,9","2 847,9","4 609,0","2 847,9"
2025-01-14,07:00,"4 308,00","2 989,9","2 989,9","4 384,6","2 989,9"
2025-01-14,08:00,"6 417,00","3 598,2","3 598,2","4 713,8","3 598,2"
2025-01-14,09:00,"6 900,00","4 212,7","4 212,7","4 824,6","4 212,7"
2025-01-14,10:00,"6 874,62","4 735,9","4 735,9","5 241,0","4 735,9"
2025-01-14,11:00,"6 300,00","4 475,6","4 475,6","5 371,5","4 475,8"
