step,action_battery,action_grid,soc,target_soc,battery_kwh,solar_gen_kwh,solar_surplus_kwh,grid_kwh,unmet_load_kwh,lcos_cost,mismatch,money_earned_ts,reward
50,-0.2834,0.4816,0.0269,0.2,-3.5422,14.4671,14.3943,-12.0397,0.0,5.3133,0.0,0,-5.3726
51,-0.1749,0.5765,0.0051,0.2,-2.1863,14.4671,14.4291,-14.4128,0.0,3.2795,0.0,0,-3.3634
52,-0.0017,0.683,0.0049,0.2,-0.0207,15.7518,15.721,-15.721,0.0,0.031,1.3528,0,-2.8079
53,-0.0154,0.6756,0.0029,0.2,-0.1931,15.7518,15.7166,-15.7166,0.0,0.2897,1.1722,0,-2.71
54,0.0011,0.6846,0.0031,0.2,0.0132,15.7518,15.7078,-15.7078,0.0,0.0198,1.4073,0,-2.91
55,-0.0216,0.6724,0.0004,0.2,-0.2702,15.7518,15.7146,-15.7146,0.0,0.4053,1.0963,0,-2.6799
56,0.0042,0.5908,0.0009,0.2,0.0501,13.0779,12.9913,-12.9913,0.0,0.0752,1.7783,0,-3.7398
57,-0.0004,0.5831,0.0008,0.2,-0.0051,13.0779,13.038,-13.038,0.0,0.0077,1.5408,0,-3.1969
58,0.0041,0.5904,0.0013,0.2,0.0487,13.0779,12.9926,-12.9926,0.0,0.073,1.7681,0,-3.7161
59,0.0026,0.5923,0.0016,0.2,0.0306,13.0779,13.0142,-13.0142,0.0,0.0459,1.7942,0,-3.7403
60,0.1404,0.7487,0.0183,0.2,1.6671,16.0437,14.2563,-14.2563,0.0,2.5007,4.4613,0,-11.479
61,0.1258,0.7392,0.0332,0.2,1.4937,16.0437,14.4334,-14.4334,0.0,2.2405,4.0455,0,-10.3542
62,0.1259,0.7383,0.0482,0.2,1.495,16.0437,14.4351,-14.4351,0.0,2.2426,4.0229,0,-10.2823
63,0.1208,0.7341,0.0625,0.2,1.4348,16.0437,14.4987,-14.4987,0.0,2.1522,3.8528,0,-9.8263
64,0.0514,0.5758,0.0686,0.2,0.6099,12.1366,11.4586,-11.4586,0.0,0.9148,2.9355,0,-6.7748
65,0.0401,0.5685,0.0734,0.2,0.4765,12.1366,11.5947,-11.5947,0.0,0.7148,2.6176,0,-5.9302
66,0.0569,0.5759,0.0801,0.2,0.6758,12.1366,11.3934,-11.3934,0.0,1.0137,3.0039,0,-6.9938
